dt,x_id,x_center,x_lo,x_hi,n,msd,msd_lo,msd_hi
2,1,-13.327,-13.747,-12.907,26977,1.7754897835468049,1.7520408835910501,1.7976124296213851
2,2,-12.777000000000001,-12.907,-12.647,29132,0.9991447251117691,0.9849300629629361,1.015608678075615
2,3,-12.5545,-12.647,-12.462,29592,0.7198199831647778,0.7087478750703162,0.731745854947274
2,4,-12.3895,-12.462,-12.317,28931,0.7362119061959127,0.7239254451255958,0.7473365965938977
2,5,-12.248999999999999,-12.317,-12.181,24793,0.6797980748533765,0.6681536149712097,0.6909931183378359
2,6,-12.119,-12.181,-12.057,26905,0.552614510960223,0.5423280475909925,0.5637001961957547
2,7,-11.995000000000001,-12.057,-11.933,25437,0.6018215107972171,0.5906329608879428,0.6123240621450542
2,8,-11.868,-11.933,-11.803,25348,0.5678602936425382,0.5569951483364451,0.5790123307051457
2,9,-11.7375,-11.803,-11.672,27774,0.6075338511646656,0.5984178287141148,0.6187653796600441
2,10,-11.6125,-11.672,-11.553,23667,0.6074228401978427,0.5974220052655168,0.6180345397999102
2,11,-11.484,-11.553,-11.415,24976,0.647502687165985,0.6373119580983085,0.6579776751101143
2,12,-11.341,-11.415,-11.267,25335,0.6883884321230777,0.6777703860742808,0.6998627158985932
2,13,-11.192,-11.267,-11.117,24307,0.720159701535677,0.7090894253541399,0.7301529303034514
2,14,-11.0385,-11.117,-10.96,24412,0.8242788020005506,0.8116204393176444,0.8380692118964523
2,15,-10.872,-10.96,-10.784,24794,0.7896169017848091,0.7761470163582413,0.8024146269407771
2,16,-10.690000000000001,-10.784,-10.596,25047,0.920066726409645,0.9075157317355985,0.9358547856170596
2,17,-10.4805,-10.596,-10.365,24375,0.992809808312159,0.9768278590896017,1.010915928789829
2,18,-10.217500000000001,-10.365,-10.07,23479,1.0015880251367542,0.9827961593309519,1.0183694857716645
2,19,-9.827,-10.07,-9.584,24026,1.0597287671465099,1.0387007345755763,1.080888911103732
2,20,-6.306,-9.584,-3.028,23605,1.060680433497047,1.0288426859201103,1.090515858039567
3,1,-13.327,-13.747,-12.907,15027,1.4535043727308,1.428514411559282,1.4776766140320783
3,2,-12.777000000000001,-12.907,-12.647,14811,1.1196841229424401,1.0991245854370375,1.141428489442014
3,3,-12.5545,-12.647,-12.462,21018,0.6666099701222352,0.6539867008168717,0.6787004744079529
3,4,-12.3895,-12.462,-12.317,16638,0.7384825593331956,0.7201815048346221,0.754736097675815
3,5,-12.248999999999999,-12.317,-12.181,17910,0.6259637860715246,0.6119607598486989,0.6392582016519158
3,6,-12.119,-12.181,-12.057,18664,0.589880684740566,0.5755666840137421,0.603117020674962
3,7,-11.995000000000001,-12.057,-11.933,18998,0.5653965281964366,0.5548677389257967,0.5779917684053136
3,8,-11.868,-11.933,-11.803,18070,0.5139448951441111,0.5021441568156111,0.5260393338269765
3,9,-11.7375,-11.803,-11.672,19907,0.5165136312180725,0.5072415226163295,0.525670851379087
3,10,-11.6125,-11.672,-11.553,20184,0.6181539473791798,0.6070136881350781,0.6296693959230278
3,11,-11.484,-11.553,-11.415,18665,0.5987195047980443,0.5869190023514673,0.6093006617507075
3,12,-11.341,-11.415,-11.267,20510,0.7237783675374178,0.7106219608834111,0.7362477286982709
3,13,-11.192,-11.267,-11.117,19652,0.866209886417035,0.8519977049280597,0.8796010816158141
3,14,-11.0385,-11.117,-10.96,19857,0.7865668487074727,0.7715760526083375,0.8005741955621595
3,15,-10.872,-10.96,-10.784,19441,0.998078194662179,0.9788866571068632,1.020159096039107
3,16,-10.690000000000001,-10.784,-10.596,20206,0.9911457730908096,0.9725166362441844,1.0092383213157097
3,17,-10.4805,-10.596,-10.365,19810,1.0398030674799505,1.0208722682861446,1.0576061338690523
3,18,-10.217500000000001,-10.365,-10.07,20155,1.115473739051074,1.096347183377285,1.1349771157096673
3,19,-9.827,-10.07,-9.584,19863,1.1160827438096244,1.0940388923969333,1.1374147697655386
3,20,-6.306,-9.584,-3.028,19393,1.0053072375364736,0.9753807897788654,1.035827355660021
4,1,-13.327,-13.747,-12.907,15997,1.5295983143384513,1.5031884170691923,1.5556989751518666
4,2,-12.777000000000001,-12.907,-12.647,13410,1.0868576994834114,1.066587568070266,1.1109742472580535
4,3,-12.5545,-12.647,-12.462,18313,0.7250825007969914,0.7090602523973513,0.7388980676828194
4,4,-12.3895,-12.462,-12.317,11717,0.7360289264884198,0.7177083606832199,0.7525650580427221
4,5,-12.248999999999999,-12.317,-12.181,14704,0.5936684775865867,0.5783292077105353,0.6067273611824717
4,6,-12.119,-12.181,-12.057,14712,0.5661341779896453,0.5515856713954839,0.5808075979981969
4,7,-11.995000000000001,-12.057,-11.933,11748,0.5212776589594978,0.5081154520858817,0.5348275837945661
4,8,-11.868,-11.933,-11.803,13692,0.4959105070316814,0.4834401609055366,0.5091253987443506
4,9,-11.7375,-11.803,-11.672,13757,0.507026826031666,0.4948134879519103,0.5186527761147198
4,10,-11.6125,-11.672,-11.553,10982,0.5052934978076082,0.48952511522102027,0.5197632768910145
4,11,-11.484,-11.553,-11.415,12551,0.5839605166477674,0.5690555505084438,0.6022026817471375
4,12,-11.341,-11.415,-11.267,13397,0.6681173176538177,0.6528142514715537,0.6826871042035528
4,13,-11.192,-11.267,-11.117,11501,0.7359880723878948,0.7157947921641027,0.7572119341166937
4,14,-11.0385,-11.117,-10.96,13224,0.721504306174073,0.702342067227312,0.7400503446833745
4,15,-10.872,-10.96,-10.784,11995,0.7942833772816099,0.7734255397689258,0.8155191558184272
4,16,-10.690000000000001,-10.784,-10.596,13057,0.856052698619516,0.8338724722552138,0.8783091927097592
4,17,-10.4805,-10.596,-10.365,13143,0.8887429989447171,0.8661779522110548,0.9113734628200362
4,18,-10.217500000000001,-10.365,-10.07,13245,0.9128413890828574,0.8872172865186778,0.9406674583644128
4,19,-9.827,-10.07,-9.584,13351,0.909755103667421,0.8855578883161688,0.938925495538418
4,20,-6.306,-9.584,-3.028,13275,0.7693285827952433,0.7391028199108742,0.7989119862771921
5,1,-13.327,-13.747,-12.907,10607,1.94708080006672,1.9173450837885804,1.9813114760603825
5,2,-12.777000000000001,-12.907,-12.647,7881,1.2153209480114386,1.186225957242648,1.245287684251599
5,3,-12.5545,-12.647,-12.462,6081,0.8938097753949764,0.8637907990315384,0.921733774673327
5,4,-12.3895,-12.462,-12.317,4826,0.7140501905038902,0.6849851201941499,0.7421936385852993
5,5,-12.248999999999999,-12.317,-12.181,6454,0.5429330246899278,0.5222846316748729,0.5645895619370243
5,6,-12.119,-12.181,-12.057,4778,0.5543291377104073,0.5293336954715162,0.57833849806898
5,7,-11.995000000000001,-12.057,-11.933,5837,0.4098638396999773,0.3905397375202301,0.4276648611562849
5,8,-11.868,-11.933,-11.803,5717,0.381907022164238,0.3666411726365806,0.3958130049651953
5,9,-11.7375,-11.803,-11.672,4150,0.4097329536109239,0.3917057810920902,0.4287795290131143
5,10,-11.6125,-11.672,-11.553,5103,0.43207471985879586,0.4160701030818034,0.44868510380883553
5,11,-11.484,-11.553,-11.415,4719,0.47664992761062547,0.4558444104973645,0.4948769222440899
5,12,-11.341,-11.415,-11.267,4941,0.5239944672537709,0.5051274399614327,0.543332696862306
5,13,-11.192,-11.267,-11.117,4514,0.5388742594338415,0.517260980148553,0.5616403748292695
5,14,-11.0385,-11.117,-10.96,6920,0.7145021022929456,0.6947589714619442,0.7352545400987706
5,15,-10.872,-10.96,-10.784,5637,0.9218957064117971,0.893819683054145,0.9470693252032045
5,16,-10.690000000000001,-10.784,-10.596,6665,0.7946203532407923,0.7695818417022251,0.8252328592923174
5,17,-10.4805,-10.596,-10.365,6538,0.8334790166057442,0.803351408112791,0.8570172797054245
5,18,-10.217500000000001,-10.365,-10.07,7434,0.9900754258434986,0.9597964256663892,1.0175608421023359
5,19,-9.827,-10.07,-9.584,6864,0.9217773789898834,0.8867879376841171,0.9513107707892835
5,20,-6.306,-9.584,-3.028,7045,0.8275094245046504,0.7927733924094035,0.8599240684392069
