dt,x_id,x_center,x_lo,x_hi,n,msd,msd_lo,msd_hi
2,14,-11.0385,-11.117,-10.96,24412,0.935203101882222,0.9134004348913564,0.9587597198637181
2,15,-10.872,-10.96,-10.784,24794,0.9682833614056897,0.945470573384207,0.9924690258188472
2,16,-10.690000000000001,-10.784,-10.596,25047,1.1493126260132658,1.125570270398829,1.1757646622490048
2,17,-10.4805,-10.596,-10.365,24375,1.3706668011630037,1.335224456507923,1.4084976515105394
2,18,-10.217500000000001,-10.365,-10.07,23479,1.4133596842097655,1.3700100297032634,1.4499308356534177
2,19,-9.827,-10.07,-9.584,24026,1.6641467618568204,1.614303372866539,1.7111623173208292
2,20,-6.306,-9.584,-3.028,23605,2.089351443065178,1.9933292526383808,2.1863488007503404
3,1,-13.327,-13.747,-12.907,15027,1.2249563922436484,1.1994452496305232,1.248314754019767
3,2,-12.777000000000001,-12.907,-12.647,14811,0.9001287045765384,0.8823443050747836,0.9194243977415735
3,3,-12.5545,-12.647,-12.462,21018,0.5173614950281905,0.505232608955547,0.5292031107390038
3,4,-12.3895,-12.462,-12.317,16638,0.549379702588555,0.5361829361028915,0.563530290626751
3,5,-12.248999999999999,-12.317,-12.181,17910,0.4822424599164025,0.47075606612108734,0.49321561539265374
3,6,-12.119,-12.181,-12.057,18664,0.4564551870185873,0.44637652900258934,0.468371603299738
3,7,-11.995000000000001,-12.057,-11.933,18998,0.49151226716274526,0.4795479696059152,0.5036567744153135
3,8,-11.868,-11.933,-11.803,18070,0.39922073227902827,0.3884019116833101,0.40856434990774126
3,9,-11.7375,-11.803,-11.672,19907,0.45197659522111344,0.4428290642986535,0.4611262685758307
3,10,-11.6125,-11.672,-11.553,20184,0.6801430412753808,0.6652408025935388,0.6989944410630541
3,11,-11.484,-11.553,-11.415,18665,0.6117620937432237,0.5959168116099353,0.6278806714689467
3,12,-11.341,-11.415,-11.267,20510,0.8368002734164549,0.8164518385787176,0.8580485483436777
3,13,-11.192,-11.267,-11.117,19652,1.1293059847056672,1.1022482765104804,1.154447590805567
3,14,-11.0385,-11.117,-10.96,19857,0.898907968920057,0.8738742896402585,0.9236827602011384
3,15,-10.872,-10.96,-10.784,19441,1.358463738293797,1.3214061461886666,1.3954891518182448
3,16,-10.690000000000001,-10.784,-10.596,20206,1.3233110881812233,1.2917656626836849,1.3594312998467721
3,17,-10.4805,-10.596,-10.365,19810,1.4076831011698154,1.371280297316378,1.4472421639741426
3,18,-10.217500000000001,-10.365,-10.07,20155,1.6385689655220925,1.5925009058395572,1.690709198823314
3,19,-9.827,-10.07,-9.584,19863,1.7334395449225342,1.686206931619391,1.7871943198662865
3,20,-6.306,-9.584,-3.028,19393,1.7165052106437488,1.6271934063871314,1.8141952639092194
4,1,-13.327,-13.747,-12.907,15997,1.2662953943865298,1.2411120461711254,1.2917910542488291
4,2,-12.777000000000001,-12.907,-12.647,13410,0.8542845592958799,0.8321920081124408,0.8748126120844205
4,3,-12.5545,-12.647,-12.462,18313,0.5550218469730788,0.5416197417093994,0.5694838414458121
4,4,-12.3895,-12.462,-12.317,11717,0.5719333370288618,0.5566854326264505,0.5902496867894156
4,5,-12.248999999999999,-12.317,-12.181,14704,0.4521485637737861,0.44015190964204565,0.4652968211336067
4,6,-12.119,-12.181,-12.057,14712,0.45534773437862186,0.4414139007248981,0.4714826734949873
4,7,-11.995000000000001,-12.057,-11.933,11748,0.424093138135141,0.4092390268214409,0.4377929276367282
4,8,-11.868,-11.933,-11.803,13692,0.4379439942433092,0.4236964140614817,0.4526944209864566
4,9,-11.7375,-11.803,-11.672,13757,0.47864418329508185,0.4650516175955598,0.4938062660544951
4,10,-11.6125,-11.672,-11.553,10982,0.5064999236663769,0.4865429061425893,0.5288781833534012
4,11,-11.484,-11.553,-11.415,12551,0.6587177562115433,0.6297863545109361,0.6902362291334693
4,12,-11.341,-11.415,-11.267,13397,0.7847465566831521,0.7590387662052835,0.8098038790770844
4,13,-11.192,-11.267,-11.117,11501,0.931197626812327,0.8987831677721966,0.9692211242780733
4,14,-11.0385,-11.117,-10.96,13224,0.8594770532249344,0.8319721308526563,0.8895924890528978
4,15,-10.872,-10.96,-10.784,11995,1.0512718361471964,1.0034928434184043,1.1004657447366089
4,16,-10.690000000000001,-10.784,-10.596,13057,1.1132789374567353,1.0665151995792865,1.1524686132384532
4,17,-10.4805,-10.596,-10.365,13143,1.2389076783398276,1.184970750984175,1.293648872203877
4,18,-10.217500000000001,-10.365,-10.07,13245,1.3432433064229687,1.286766606776672,1.4056976057253399
4,19,-9.827,-10.07,-9.584,13351,1.4546468804474868,1.393235235042767,1.5240149061436725
4,20,-6.306,-9.584,-3.028,13275,1.277018523669704,1.198508417241355,1.3601089813101102
5,1,-13.327,-13.747,-12.907,10607,1.7340789550688707,1.6999302099793359,1.7733731309387863
5,2,-12.777000000000001,-12.907,-12.647,7881,1.0394650812146724,1.0058522545080106,1.0693111902872356
5,3,-12.5545,-12.647,-12.462,6081,0.7360347468041071,0.703063816007367,0.7708040972605735
5,4,-12.3895,-12.462,-12.317,4826,0.5653185967546855,0.5394982679247572,0.5913412010132689
5,5,-12.248999999999999,-12.317,-12.181,6454,0.3836409942125213,0.36683232725641507,0.40330517259760534
5,6,-12.119,-12.181,-12.057,4778,0.403417608806594,0.3823486476002237,0.4238888632198126
5,7,-11.995000000000001,-12.057,-11.933,5837,0.2936744116678566,0.27881679628865214,0.3077076219914138
5,8,-11.868,-11.933,-11.803,5717,0.2960893729994988,0.2852942869902931,0.30783339526555176
5,9,-11.7375,-11.803,-11.672,4150,0.3277475908939981,0.31064411824172417,0.34375088010630367
5,10,-11.6125,-11.672,-11.553,5103,0.41390270738045126,0.3966477734943671,0.4314766512929344
5,11,-11.484,-11.553,-11.415,4719,0.40828460330939154,0.3872642320943542,0.428937257312105
5,12,-11.341,-11.415,-11.267,4941,0.5742038777514682,0.5470789519104475,0.6014522574493303
5,13,-11.192,-11.267,-11.117,4514,0.5350880996172785,0.5018838608665349,0.5653370784697923
5,14,-11.0385,-11.117,-10.96,6920,0.8637438773532352,0.8380223655546984,0.8946459558245807
5,15,-10.872,-10.96,-10.784,5637,1.3452878845560923,1.2973901840015374,1.390616755296635
5,16,-10.690000000000001,-10.784,-10.596,6665,1.05095956019666,0.9998592006742629,1.1109101618722241
5,17,-10.4805,-10.596,-10.365,6538,1.0924383822931354,1.03489190969377,1.1384681372562135
5,18,-10.217500000000001,-10.365,-10.07,7434,1.403776232313437,1.3393853957083663,1.4655874175700692
5,19,-9.827,-10.07,-9.584,6864,1.3747004040906536,1.2900223068374963,1.4401434547497114
5,20,-6.306,-9.584,-3.028,7045,1.2529725942878691,1.1657763361098668,1.3452544329841236
