x,dt,obs_class,weight_col,weight_cap_q,n,grid_qlo,grid_qhi,grid_n,b_OU_linear,b_tanh_saturating,b_rational_saturating,b_hinge_plateau_smooth
-9.799031921908291,1,TT,w_clone,0.999,22538,0.02,0.98,500,0.09019258546304965,0.14954232679066157,0.1512200729266118,0.133258505630461
-9.789809053799265,1,TT,w_clone,0.999,22538,0.02,0.98,500,0.08838352468490984,0.14685529571612935,0.14875380053886522,0.12870863612434152
-9.780586185690241,1,TT,w_clone,0.999,22538,0.02,0.98,500,0.08657446390677026,0.1441146666459054,0.14622792290727227,0.12418896506768785
-9.771363317581216,1,TT,w_clone,0.999,22538,0.02,0.98,500,0.08476540312863046,0.1413204006516387,0.14364156547218102,0.11969994733723054
-9.762140449472192,1,TT,w_clone,0.999,22538,0.02,0.98,500,0.08295634235049087,0.1384725185061001,0.14099390354611024,0.11524202644754214
-9.752917581363166,1,TT,w_clone,0.999,22538,0.02,0.98,500,0.08114728157235107,0.13557110297903655,0.13828416854522105,0.1108156343000569
-9.743694713254142,1,TT,w_clone,0.999,22538,0.02,0.98,500,0.07933822079421149,0.1326163010545831,0.13551165449368188,0.1064211909444565
-9.734471845145116,1,TT,w_clone,0.999,22538,0.02,0.98,500,0.07752916001607169,0.12960832605671577,0.13267572478086515,0.10205910435265937
-9.725248977036092,1,TT,w_clone,0.999,22538,0.02,0.98,500,0.0757200992379321,0.12654745966896755,0.12977581914623415,0.09772977020568396
-9.716026108927066,1,TT,w_clone,0.999,22538,0.02,0.98,500,0.0739110384597923,0.1234340538343763,0.12681146086127887,0.093433571693575
-9.706803240818042,1,TT,w_clone,0.999,22538,0.02,0.98,500,0.07210197768165272,0.12026853252154,0.12378226407210642,0.08917087932861202
-9.697580372709016,1,TT,w_clone,0.999,22538,0.02,0.98,500,0.07029291690351291,0.11705139334258656,0.12068794126021166,0.0849420507719374
-9.688357504599992,1,TT,w_clone,0.999,22538,0.02,0.98,500,0.06848385612537333,0.11378320900897357,0.11752831077275494,0.08074743067377074
-9.679134636490966,1,TT,w_clone,0.999,22538,0.02,0.98,500,0.06667479534723353,0.11046462861117481,0.1143033043673059,0.07658735052729713
-9.66991176838194,1,TT,w_clone,0.999,22538,0.02,0.98,500,0.06486573456909372,0.10709637870864683,0.11101297470972325,0.07246212853634351
-9.660688900272916,1,TT,w_clone,0.999,22538,0.02,0.98,500,0.06305667379095414,0.10367926421684973,0.10765750275761289,0.06837206949688217
-9.65146603216389,1,TT,w_clone,0.999,22538,0.02,0.98,500,0.06124761301281434,0.10021416907866007,0.10423720495590127,0.06431746469240864
-9.642243164054866,1,TT,w_clone,0.999,22538,0.02,0.98,500,0.05943855223467476,0.09670205670818238,0.10075254016555973,0.06029859180320929
-9.63302029594584,1,TT,w_clone,0.999,22538,0.02,0.98,500,0.057629491456534954,0.09314397019573897,0.0972041162415797,0.05631571482948915
-9.623797427836816,1,TT,w_clone,0.999,22538,0.02,0.98,500,0.05582043067839537,0.0895410322637798,0.09359269617219079,0.052369084028339036
-9.61457455972779,1,TT,w_clone,0.999,22538,0.02,0.98,500,0.05401136990025557,0.08589444496446279,0.08991920368807785,0.04845893586445732
-9.605351691618766,1,TT,w_clone,0.999,22538,0.02,0.98,500,0.052202309122115986,0.08220548911087291,0.08618472824833476,0.04458549297456241
-9.59612882350974,1,TT,w_clone,0.999,22538,0.02,0.98,500,0.05039324834397596,0.07847552343509732,0.08239052930910716,0.040748964145358335
-9.586905955400717,1,TT,w_clone,0.999,22538,0.02,0.98,500,0.0485841875658366,0.0747059834678221,0.07853803978165963,0.03694954430494643
-9.57768308729169,1,TT,w_clone,0.999,22538,0.02,0.98,500,0.046775126787696575,0.07089838013558003,0.07462886858893802,0.0331874145274991
-9.568460219182667,1,TT,w_clone,0.999,22538,0.02,0.98,500,0.044966066009557215,0.06705429807342389,0.07066480223388877,0.029462742051046625
-9.55923735107364,1,TT,w_clone,0.999,22538,0.02,0.98,500,0.04315700523141719,0.06317539365243785,0.06664780529875658,0.025775680308150056
-9.550014482964617,1,TT,w_clone,0.999,22538,0.02,0.98,500,0.04134794445327783,0.059263392723296275,0.06258001980255506,0.022126368969268645
-9.540791614855591,1,TT,w_clone,0.999,22538,0.02,0.98,500,0.039538883675137804,0.05532008807883653,0.05846376335371052,0.01851493399855972
-9.531568746746567,1,TT,w_clone,0.999,22538,0.02,0.98,500,0.037729822896998444,0.05134733664050351,0.05430152604666806,0.01494148772187942
-9.522345878637541,1,TT,w_clone,0.999,22538,0.02,0.98,500,0.03592076211885842,0.04734705637533695,0.05009596606472925,0.011406128906688656
-9.513123010528517,1,TT,w_clone,0.999,22538,0.02,0.98,500,0.03411170134071906,0.04332122295208689,0.045849903966602434,0.007908942853597195
-9.503900142419491,1,TT,w_clone,0.999,22538,0.02,0.98,500,0.03230264056257903,0.03927186614684272,0.04156631565067273,0.004450001499219758
-9.494677274310467,1,TT,w_clone,0.999,22538,0.02,0.98,500,0.030493579784439673,0.03520106601042304,0.03724832400876877,0.0010293635300489545
-9.485454406201441,1,TT,w_clone,0.999,22538,0.02,0.98,500,0.028684519006299647,0.031110948811482794,0.03289918929968285,-0.00235292549301086
-9.476231538092417,1,TT,w_clone,0.999,22538,0.02,0.98,500,0.026875458228160287,0.027003682771027444,0.028522298291725087,-0.0056968329997695855
-9.467008669983391,1,TT,w_clone,0.999,22538,0.02,0.98,500,0.02506639745002026,0.022881473605564612,0.02412115224253788,-0.009002339265915038
-9.457785801874367,1,TT,w_clone,0.999,22538,0.02,0.98,500,0.0232573366718809,0.018746559897652972,0.019699353803039714,-0.012269437258557031
-9.448562933765341,1,TT,w_clone,0.999,22538,0.02,0.98,500,0.021448275893740876,0.014601208313908454,0.015260592950044597,-0.015498132472548706
-9.439340065656317,1,TT,w_clone,0.999,22538,0.02,0.98,500,0.019639215115601294,0.010447708691783988,0.01080863206858402,-0.018688442757947926
-9.430117197547291,1,TT,w_clone,0.999,22538,0.02,0.98,500,0.01783015433746149,0.006288369017435162,0.006347290319598709,-0.021840398139025774
-9.420894329438266,1,TT,w_clone,0.999,22538,0.02,0.98,500,0.016021093559321686,0.0021255103179092056,0.0018804274412908674,-0.024954040625201818
-9.411671461329242,1,TT,w_clone,0.999,22538,0.02,0.98,500,0.014212032781182105,-0.0020385385084575255,-0.0025880728575189186,-0.028029424014320264
-9.402448593220218,1,TT,w_clone,0.999,22538,0.02,0.98,500,0.012402972003042523,-0.006201445899018167,-0.007054319746303727,-0.031066613688666714
-9.393225725111192,1,TT,w_clone,0.999,22538,0.02,0.98,500,0.010593911224902719,-0.010360882846456766,-0.01151443219389681,-0.03406568640412827
-9.384002857002166,1,TT,w_clone,0.999,22538,0.02,0.98,500,0.008784850446762915,-0.014514528106281626,-0.01596455579029113,-0.03702673007291431
-9.374779988893142,1,TT,w_clone,0.999,22538,0.02,0.98,500,0.006975789668623333,-0.018660073367458715,-0.020400879299556373,-0.03994984354024568
