dt,x_id,x_center,x_lo,x_hi,n,median_dx,median_lo,median_hi,ppos,ppos_lo,ppos_hi
1,18,-8.301,-8.478,-8.124,2097,-0.2298036027519625,-0.2682244066005496,-0.19815270480707722,0.33839516824849014,0.3139567767152234,0.36484648418301874
1,19,-7.8125,-8.124,-7.501,2060,-0.2338152525972177,-0.28286139672935345,-0.19833984133094273,0.3223169246825536,0.29756623053890346,0.34997100042460244
1,20,-5.2645,-7.501,-3.028,2040,-0.303664342573831,-0.3508777279432294,-0.24468291220880595,0.2881955612737215,0.2610674902036898,0.3165382087158681
2,1,-11.2845,-11.825999999999999,-10.743,1043,0.3604919673798683,0.31368357101245625,0.4182566187959034,0.8296276453254755,0.7946537748155597,0.8679148132678238
2,2,-10.6405,-10.743,-10.538,1755,0.2564323158070092,0.2228380365057347,0.2810086743411588,0.7846662830840047,0.7631777635391791,0.8061331004032819
2,3,-10.4515,-10.538,-10.365,1802,0.1545044493340199,0.12114410688354844,0.1872241479606575,0.6339677891654465,0.6042725630995358,0.6638817356661738
2,4,-10.293,-10.365,-10.221,1830,0.1005736595064856,0.0698192162978195,0.13408234229281543,0.5896879692975139,0.5583927308327603,0.626185766420745
2,5,-10.161000000000001,-10.221,-10.101,1727,0.0288013538156004,0.0029953305847651,0.0578633647978037,0.5326045262754124,0.5055453235959648,0.5612844590782202
2,6,-10.0475,-10.101,-9.994,1603,0.0336789375809871,-0.004459336140765297,0.0730177592001304,0.5265806169328374,0.496749796961594,0.5549626291492634
2,7,-9.9415,-9.994,-9.889,1568,-0.0016071413449587,-0.041788424345234075,0.03051588430509082,0.499222740395292,0.46214672533345275,0.5341439409250893
2,8,-9.834,-9.889,-9.779,1572,-0.0418618547283085,-0.0831921501108237,-0.0021542471934287532,0.4681270536692224,0.4408879593613003,0.5017999503490725
2,9,-9.7265,-9.779,-9.674,1620,-0.037863269015844,-0.07126464542800613,-0.0017679647675912,0.470058532192706,0.44139005479443644,0.4939626884503401
2,10,-9.621500000000001,-9.674,-9.569,1549,-0.0544780148586561,-0.0944996695362974,-0.0116515877854475,0.4615570599613153,0.43510054410521376,0.4881509644990016
2,11,-9.5135,-9.569,-9.458,1479,-0.0590250201892779,-0.1002645353988967,-0.003504438849773789,0.4649033570701933,0.4346408002572798,0.4974327778211128
2,12,-9.3975,-9.458,-9.337,1492,-0.0553315854569955,-0.12430131098534374,-0.0029740519326892,0.4643323752286385,0.43496388617184556,0.49313903847780505
2,13,-9.272,-9.337,-9.207,1547,-0.0926701159611997,-0.1262345700267255,-0.0528880626093997,0.433605720122574,0.4055372188524151,0.46431692980346306
2,14,-9.136,-9.207,-9.065,1550,-0.1220840549196218,-0.16483510484559,-0.07005226664937868,0.41711229946524053,0.3876704015023537,0.44247757645849384
2,15,-8.9845,-9.065,-8.904,1569,-0.1189276031797241,-0.15193065180165785,-0.08929392699734838,0.4020775272358753,0.37428443663163474,0.4318073011696923
2,16,-8.812000000000001,-8.904,-8.72,1495,-0.1355215269595806,-0.16238371530960122,-0.1040963672589203,0.3991275899672846,0.373804529899912,0.4288074833075058
2,17,-8.599,-8.72,-8.478,1428,-0.1588885421664887,-0.19534582306055484,-0.12416551303437864,0.3763317016988194,0.3462208848148928,0.4060956200927807
2,18,-8.301,-8.478,-8.124,1463,-0.1603018360914472,-0.1825725763460086,-0.12663772170211018,0.3794742729306487,0.35318821407495643,0.4074580720061286
2,19,-7.8125,-8.124,-7.501,1469,-0.1481082081057998,-0.17937596345307386,-0.1087665168284052,0.3862745098039216,0.3586932363793765,0.41745318699896083
2,20,-5.2645,-7.501,-3.028,1474,-0.149824044658656,-0.1866579218993323,-0.09317905608860265,0.4093437152391545,0.37954916772192604,0.4354422518830407
3,1,-11.2845,-11.825999999999999,-10.743,1041,0.432029799132346,0.4125944119340747,0.46399387571136863,0.9350180505415162,0.9194709989941339,0.9529647099003483
3,2,-10.6405,-10.743,-10.538,1117,0.310556363083089,0.2823284733183602,0.3410491718274215,0.7364725320115654,0.7102680148045601,0.762497704315886
3,3,-10.4515,-10.538,-10.365,1046,0.2338048458819415,0.19944650670043484,0.27471833176196014,0.6825259515570935,0.6471195328867153,0.7156945894738955
