rep,model,intercept,slope,xstar,sse,tau
211,hinge_plateau_smooth,-3.0968372988171833,-0.35134251438751624,-8.535580023435337,28.43041804429801,2.8462254325903795
212,hinge_plateau_smooth,-2.8454661816234403,-0.32313408785656483,-8.48345515878639,27.22552063844517,3.0946905250178602
213,hinge_plateau_smooth,-3.074665452548431,-0.3479715084115309,-8.546724503945585,32.74241554820324,2.873798503115787
214,hinge_plateau_smooth,-2.9780637736462876,-0.3376344520916021,-8.510698969029585,21.04397665448348,2.961783057994018
215,hinge_plateau_smooth,-3.087143024616099,-0.34799097755919295,-8.627325452651004,37.16173561846977,2.8736377219145024
216,hinge_plateau_smooth,-2.903902064069818,-0.32996867508028,-8.517521142664148,35.67070167068586,3.030590706092644
217,hinge_plateau_smooth,-2.901510240343458,-0.32994583764685026,-8.49704507916766,26.923794900576098,3.0308004705618576
218,hinge_plateau_smooth,-2.756100767722829,-0.3140600527973505,-8.4696957544124,22.718908372534756,3.184104412811957
219,hinge_plateau_smooth,-2.63157795265933,-0.30159361371460774,-8.393434322318717,31.036890773157598,3.3157200767065342
220,hinge_plateau_smooth,-2.870887203485935,-0.32663962570892485,-8.526078133136505,27.134509966192688,3.061477914168075
221,hinge_plateau_smooth,-2.80729349447977,-0.3195543656821562,-8.457353886993591,23.06876359570026,3.1293579665710056
222,hinge_plateau_smooth,-2.84535773405447,-0.32409047192766294,-8.486239958521626,19.77326611633348,3.0855581592759695
223,hinge_plateau_smooth,-3.1000722640068936,-0.35161865156061245,-8.528660195442184,24.981273805389986,2.8439902023445955
224,hinge_plateau_smooth,-2.6897519243064267,-0.3080368676760267,-8.385451546122576,26.313046550051823,3.2463646561025787
225,hinge_plateau_smooth,-2.692170780263662,-0.30729345386846885,-8.455063052270734,22.232460298717942,3.2542183616707665
226,hinge_plateau_smooth,-2.721176874079395,-0.3103088937444539,-8.430202569137656,23.074068044598246,3.2225953563017167
227,hinge_plateau_smooth,-2.680178912539922,-0.30645773668843845,-8.43044773386546,18.742373181475248,3.2630926887535368
228,hinge_plateau_smooth,-3.0708654964887527,-0.3482989143300625,-8.555004463626513,16.48005542821229,2.8710970917708876
229,hinge_plateau_smooth,-2.904745807158655,-0.3306994077913551,-8.4986586977067,29.342987091069137,3.023894136003171
230,hinge_plateau_smooth,-3.1133682732489265,-0.352892315842595,-8.552514285235677,33.882819331338325,2.8337256299058735
231,hinge_plateau_smooth,-3.1221891719581736,-0.35258453106443477,-8.604567636789374,25.12327578792133,2.836199299444734
