bin,x0_lo,x0_hi,x0_mid,y_med,n,series,dt,obs_class,weight_col
0,-10.457002044311755,-9.873264458841856,-10.011726506457505,-0.05245597419623971,611,resid_hinge_plateau_smooth,1,TT,unweighted
1,-9.873264458841856,-9.660890237455417,-9.759472262814054,-0.032085359536910996,610,resid_hinge_plateau_smooth,1,TT,unweighted
2,-9.660890237455417,-9.465656001397875,-9.558360189091797,0.003581467581559819,610,resid_hinge_plateau_smooth,1,TT,unweighted
3,-9.465656001397875,-9.332625390568136,-9.391118017718656,0.019596468395574607,611,resid_hinge_plateau_smooth,1,TT,unweighted
4,-9.332625390568136,-9.206605875743675,-9.270540125643912,-0.01628782815003254,610,resid_hinge_plateau_smooth,1,TT,unweighted
5,-9.206605875743675,-9.089019726045056,-9.145419040338409,0.0489501263551894,610,resid_hinge_plateau_smooth,1,TT,unweighted
6,-9.089019726045056,-8.97628145596755,-9.02809066181897,0.03276106461487846,611,resid_hinge_plateau_smooth,1,TT,unweighted
7,-8.97628145596755,-8.870394386536681,-8.922881985170257,0.009735539276176836,610,resid_hinge_plateau_smooth,1,TT,unweighted
8,-8.870394386536681,-8.764527469784447,-8.81560002504753,0.009213593334963353,610,resid_hinge_plateau_smooth,1,TT,unweighted
9,-8.764527469784447,-8.65816563116343,-8.711595548047262,0.013430796878531485,610,resid_hinge_plateau_smooth,1,TT,unweighted
10,-8.65816563116343,-8.535871707844931,-8.59468532451638,-0.006205823914010242,611,resid_hinge_plateau_smooth,1,TT,unweighted
11,-8.535871707844931,-8.408651840234981,-8.477776786366062,-0.011064536482399332,610,resid_hinge_plateau_smooth,1,TT,unweighted
12,-8.408651840234981,-8.272172031328498,-8.340903305457894,0.0061122827682310865,609,resid_hinge_plateau_smooth,1,TT,unweighted
13,-8.272172031328498,-8.114151088607294,-8.199048763783404,-0.011293990167460292,612,resid_hinge_plateau_smooth,1,TT,unweighted
14,-8.114151088607294,-7.924454362783859,-8.021370412007112,0.011430939086628386,610,resid_hinge_plateau_smooth,1,TT,unweighted
15,-7.924454362783859,-7.726569114362053,-7.830093609436304,0.007798508256927093,610,resid_hinge_plateau_smooth,1,TT,unweighted
16,-7.726569114362053,-7.469083163415217,-7.598587826468796,0.03797350752943368,611,resid_hinge_plateau_smooth,1,TT,unweighted
17,-7.469083163415217,-7.066496901189976,-7.303017705180661,-0.043891955278368505,610,resid_hinge_plateau_smooth,1,TT,unweighted
18,-7.066496901189976,-6.257292344013413,-6.762472319962589,0.011300535849891012,610,resid_hinge_plateau_smooth,1,TT,unweighted
19,-6.257292344013413,-3.039465617682323,-5.5197710232562684,0.05536851047921679,611,resid_hinge_plateau_smooth,1,TT,unweighted
