rep,n,ou_a,ou_b,ou_x_star,ou_tau,ou_sse,ou_aic,ou_bic,tanh_A,tanh_Delta,tanh_x_star,tanh_tau_local,tanh_sse,tanh_aic,tanh_bic,rat_A,rat_Delta,rat_x_star,rat_tau_local,rat_sse,rat_aic,rat_bic,hinge_a,hinge_b,hinge_A,hinge_x_c,hinge_Delta,hinge_tau_from_b,hinge_sse,hinge_aic,hinge_bic,delta_aic_tanh,delta_bic_tanh,delta_aic_rat,delta_bic_rat,delta_aic_hinge,delta_bic_hinge
385,644922,-6.7141040001939665,-0.5697182231770669,-11.784955662384071,1.755253666318486,371040.30617484055,-356520.9291063989,-356498.1753370824,0.8272767647975746,0.870847692494051,-11.871989179732742,1.0526678973114127,352907.9235616582,-388831.7885600084,-388797.6579060337,0.9040591563292772,0.9182768856061363,-11.871076922040745,1.0157265475133141,353152.6467092648,-388384.72394610324,-388350.5932921285,-8.598672420847103,-0.7351105358087717,0.6120395720422495,-11.307135091762143,0.45037215987014245,1.3603396377658983,347194.314274464,-399354.577193501,-399297.69277020986,-32310.859453609504,-32299.482568951265,-31863.79483970435,-31852.417955046112,-42833.648087102105,-42799.51743312745
386,645369,-6.720394355493085,-0.5701540792465185,-11.786979344906829,1.753911857162436,368039.02183579496,-362456.70575795346,-362433.95060290303,0.8297536363138425,0.8755536712573092,-11.870340935414927,1.0551971488150773,349938.7197964131,-395001.2564162307,-394967.12368365505,0.9067921467865274,0.9230640306798101,-11.869472283418824,1.0179444473035488,350168.6627115195,-394577.3270641826,-394543.19433160697,-8.423909393157528,-0.720930917784649,0.6206482753095087,-11.325590054192865,0.4358662408316132,1.387095455793328,344509.7944309585,-405087.9440349101,-405031.05614728405,-32544.550658277236,-32533.17308075202,-32120.62130622915,-32109.243728703936,-42631.23827695666,-42597.10554438102
387,644996,-6.73591398834766,-0.571717493070794,-11.7818924031306,1.7491156246222697,369630.8392269741,-359090.64700245846,-359067.89300367003,0.8316164167919906,0.8759722998816181,-11.870346292497365,1.0533369498172402,351551.1416041187,-391434.9253549636,-391400.79435678094,0.9089326784646584,0.9236463679314453,-11.869436556233763,1.0161878759729936,351767.2048733487,-391038.6326960779,-391004.5016978953,-8.480851029001137,-0.726492037628201,0.6167141321998204,-11.350568152325916,0.4461442666648296,1.37647757746214,345683.12071089447,-402287.93446796766,-402231.0494709966,-32344.27835250512,-32332.90135311091,-31947.98569361947,-31936.60869422526,-43197.2874655092,-43163.15646732657
388,644739,-6.658914374755403,-0.565093822980332,-11.783732371442266,1.7696176445991783,369407.936367771,-359079.53806901036,-359056.78486728494,0.8184102688559286,0.8565597015877665,-11.87092671781971,1.0466140689866559,350274.9174964682,-393366.83885435946,-393332.7090517713,0.8927996131473778,0.9000357391973897,-11.870116689210493,1.0081049834066376,350522.44571761286,-392911.3830755952,-392877.25327300705,-8.49511667657694,-0.726236168473652,0.6113686322865136,-11.32843795374354,0.42212424067920334,1.3769625411272535,344682.0290964906,-403740.5497161069,-403683.6667117933,-34287.3007853491,-34275.92418448639,-33831.84500658483,-33820.46840572212,-44661.011647096544,-44626.881844508345
389,645053,-6.677947486425091,-0.5666895277008804,-11.784137803848665,1.7646346916928324,368732.9646173928,-360748.19565820595,-360725.44148268003,0.8208423728209479,0.8611102067513822,-11.87170138308113,1.0490567193699418,350611.9291457836,-393252.16576718964,-393218.0345039008,0.8963862837497448,0.9066667282246714,-11.870678446615967,1.0114687659341703,350817.63571435004,-392873.81945952005,-392839.6881962312,-8.429518063437051,-0.7212786954984903,0.6134065472133357,-11.353087556498409,0.4196128854068273,1.3864266423519964,344969.3906180477,-403713.70341532433,-403656.8179765096,-32503.97010898369,-32492.59302122076,-32125.623801314097,-32114.24671355117,-42965.50775711838,-42931.37649382959
390,643904,-6.711112181192061,-0.5693756129931671,-11.786792458342608,1.7563098544791393,369236.9366573078,-358078.16426350403,-358055.4136536527,0.8224489390795,0.8552129366984617,-11.873235196672363,1.0398371206553343,350418.9319272265,-391758.2388337504,-391724.1129189735,0.8977230265005608,0.8995896550212296,-11.872268006936054,1.0020792922377686,350632.8275472035,-391365.319915288,-391331.1940005111,-8.446973491730715,-0.7224748436928992,0.6190434914023615,-11.351535074761633,0.4107566717017543,1.3841312382429025,345012.54342143005,-401766.0529142193,-401709.17638959107,-33680.07457024639,-33668.699265320785,-33287.15565178398,-33275.78034685837,-43687.88865071529,-43653.76273593836
391,646345,-6.687868372450117,-0.5674493263841286,-11.785842473487822,1.7622718954873884,371551.6569942568,-357842.0088926403,-357819.2507152484,0.8226771627336407,0.8690641535199006,-11.872195700840052,1.0563854120273894,353691.94064084196,-389679.9939851472,-389645.8567190594,0.8986601750048004,0.9156371207373837,-11.871185395933141,1.0188913965531994,353912.0479005977,-389277.88988822576,-389243.75262213795,-8.504084998279232,-0.7272419712433942,0.6118182942670009,-11.325778737103487,0.43718603925597954,1.375058150577119,347996.4462045323,-400168.7861357509,-400111.8906922712,-31837.98509250692,-31826.606003811,-31435.880995585467,-31424.50190688955,-42326.777243110584,-42292.63997702277
392,644735,-6.692072605571971,-0.5677478667051056,-11.787050199605428,1.7613452355240833,369049.80498621054,-359698.6672931388,-359675.9141038215,0.8168654910536497,0.8525484791833206,-11.875368141175915,1.043682819901774,350831.2232000178,-392337.24419538537,-392303.1144114094,0.8914651863111417,0.8964434032748124,-11.8742873525014,1.0055843088884608,351044.4116744232,-391945.57915262505,-391911.4493686491,-8.559713812595938,-0.731245756848639,0.6093523525304927,-11.342565711335888,0.41376841422707195,1.3675293027471072,345013.68385264254,-403113.9758930239,-403057.0929197307,-32638.57690224657,-32627.20030758792,-32246.911859486252,-32235.535264827602,-43415.30859988509,-43381.178815909196
393,645180,-6.718105670917549,-0.5699194807173169,-11.787815469058803,1.7546338278196272,369178.4579527571,-360167.21537915076,-360144.4608098975,0.8219293483962462,0.8589630140266283,-11.873917009056983,1.0450569938920449,351263.9452141915,-392257.9082868183,-392223.77643293847,0.8980811419191153,0.9055633832251838,-11.872904645122873,1.0083313644578704,351469.00284713827,-391881.38093672163,-391847.2490828418,-8.440124847145242,-0.7217138263544146,0.6186991231696447,-11.343962682907996,0.41245333375157217,1.3855907473067122,345943.2250580588,-402101.451516176,-402044.5650930429,-32090.692907667544,-32079.31562304095,-31714.165557570872,-31702.78827294428,-41934.23613702523,-41900.104283145396
394,643840,-6.6964595253570485,-0.5681298457381488,-11.786846925207039,1.7601610045688396,368731.55828886956,-358860.410346336,-358837.659935282,0.8212889765230095,0.8563830508967832,-11.873613978660021,1.0427304826643933,350039.79926339287,-392352.27722138347,-392318.1516048024,0.896682318050984,0.9013830164293504,-11.872444177327816,1.0052423230432197,350273.2070573745,-391923.1054702232,-391888.9798536421,-8.641913981082766,-0.7365526577621481,0.6100619007873885,-11.30387407767465,0.3900838724771021,1.3576761816843868,344453.0263661065,-402707.1040434416,-402650.2280158065,-33491.866875047446,-33480.49166952039,-33062.695123887155,-33051.319918360095,-43846.69369710557,-43812.56808052451
