x,dt,obs_class,weight_col,weight_cap_q,n,grid_qlo,grid_qhi,grid_n,b_OU_linear,b_tanh_saturating,b_rational_saturating,b_hinge_plateau_smooth
-12.32758768581729,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.308524213080398,0.39763660202765383,0.4029797914239725,0.3652108385279966
-12.319147400360917,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.3037253892781049,0.3914514469506751,0.39699722088561795,0.35789434882711585
-12.310707114904542,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.29892656547581176,0.38520870206148666,0.39094849635905576,0.35056946552830215
-12.302266829448168,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.29412774167351863,0.37890876236497145,0.38483366920186934,0.3432363426007683
-12.293826543991795,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.2893289178712264,0.37255205207563163,0.37865282930247846,0.3358951422026987
-12.285386258535421,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.28453009406893326,0.36613902486037675,0.37240610625356135,0.32854603485852113
-12.276945973079048,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.279731270266641,0.3596701640554073,0.366093670504573,0.32118919963585396
-12.268505687622675,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.2749324464643479,0.35314598285622867,0.359715734489482,0.3138248243219842
-12.260065402166301,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.27013362266205565,0.3465670244798433,0.3532725537257115,0.3064531055996077
-12.251625116709928,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.2653347988597625,0.33993386229820205,0.34676442788015793,0.2990742492216153
-12.243184831253554,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.2605359750574703,0.3332470999420262,0.340191701798059,0.2916884701847021
-12.234744545797179,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.25573715125517626,0.32650737137414637,0.3335547664903897,0.28429599290150354
-12.226304260340806,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.250938327452884,0.31971534093155396,0.32685406007540296,0.2768970513710589
-12.217863974884432,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.2461395036505909,0.31287170333537223,0.3200900686698446,0.26949188934725277
-12.209423689428059,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.24134067984829866,0.3059771836680497,0.3132633272253787,0.26208076050504037
-12.200983403971685,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.23654185604600553,0.2990325373170772,0.30637442030569284,0.25466392860408976
-12.192543118515312,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.2317430322437133,0.2920385498846123,0.29942398279978033,0.2472416676496019
-12.184102833058938,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.22694420844142105,0.2849960370624379,0.2924127005669071,0.23981426204994608
-12.175662547602563,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.22214538463912703,0.2779058444717416,0.2853413110088174,0.23238200677084153
-12.16722226214619,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.2173465608368339,0.27076884746727237,0.27821060356480976,0.2249452074857185
-12.158781976689816,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.21254773703454166,0.26358595090546266,0.27102142012537694,0.21750418072194314
-12.150341691233443,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.20774891323224853,0.25635808887622435,0.2637746553602738,0.21005925400254882
-12.14190140577707,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.2029500894299563,0.24908622439814002,0.2564712569569729,0.20261076598314168
-12.133461120320696,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.19815126562766405,0.2417713490768767,0.24911222576566822,0.19515906658357984
-12.125020834864323,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.19335244182537092,0.23441448272670914,0.24169861584717922,0.18770451711410224
-12.11658054940795,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.18855361802307868,0.2270166729551166,0.2342315344203342,0.18024749039549146
-12.108140263951576,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.18375479422078556,0.21957899471049508,0.22671214170566797,0.17278837087290222
-12.0996999784952,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.17895597041849154,0.21210254979310159,0.21914165066254793,0.16532755472297836
-12.091259693038827,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.1741571466161993,0.2045884663294384,0.21152132661716258,0.1578654499538335
-12.082819407582454,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.16935832281390706,0.19703789821033274,0.2038524867791059,0.15040247649751431
-12.07437912212608,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.16455949901161393,0.18945202449310397,0.19613649964470725,0.14293906629452802
-12.065938836669707,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.1597606752093217,0.18183204876823555,0.18837478428558113,0.13547566337004274
-12.057498551213333,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.15496185140702856,0.17417919849108618,0.18056880952131016,0.12801272390131177
-12.04905826575696,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.15016302760473632,0.16649472427924444,0.17272009297558663,0.1205507162759476
-12.040617980300585,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.1453642038024423,0.15877989917621296,0.16483020001558168,0.11309012114058134
-12.032177694844211,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.14056538000015006,0.15103601788220117,0.15690074257478115,0.10563143143954504
-12.023737409387838,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.13576655619785694,0.14326439595285215,0.1489333778599632,0.09817515244307908
-12.015297123931465,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.1309677323955647,0.13546636896686412,0.14092980694353568,0.09072180176473663
-12.006856838475091,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.12616890859327157,0.12764329166348953,0.13289177324288234,0.0832719093674869
-11.998416553018718,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.12137008479097933,0.11979653705100357,0.1248210608888988,0.07582601755816364
-11.989976267562344,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.1165712609886862,0.11192749548729776,0.1167194929863835,0.06838468096980886
-11.98153598210597,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.11177243718639396,0.10403757373382647,0.10858892976944892,0.0609484665315224
-11.973095696649597,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.10697361338410083,0.09612819398420507,0.10043126665560552,0.05351795342543207
-11.964655411193222,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.1021747895818077,0.08820079286882106,0.09224843220265583,0.046093733030355646
-11.956215125736849,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.09737596577951457,0.08025682043689651,0.08404238597301461,0.03867640885183034
-11.947774840280475,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.09257714197722233,0.0722977391174635,0.07581511631049312,0.0312665964380591
-11.939334554824102,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.0877783181749292,0.06432502266082982,0.06756863803507969,0.023864923281499806
-11.930894269367728,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.08297949437263696,0.0563401550621061,0.059304990061604314,0.016472028705675268
-11.922453983911355,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.07818067057034384,0.048344629468448606,0.05102623294859863,0.0090885637369231
-11.914013698454982,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.0733818467680516,0.040339947071705455,0.04273444638401106,0.00171519096072556
-11.905573412998606,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.06858302296575758,0.03232761598819261,0.034431726614766386,-0.005647415637645675
-11.897133127542233,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.06378419916346534,0.024309150127374043,0.026120183827464605,-0.012998570848479982
-11.88869284208586,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.05898537536117221,0.016286068051214936,0.017801939487736892,-0.02033757842922644
-11.880252556629486,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.05418655155887997,0.008259891826061728,0.00947912364605655,-0.027663731312585094
-11.871812271173113,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.04938772775658684,0.0002321458688643432,0.0011538722179212327,-0.0349763118312961
-11.86337198571674,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.0445889039542946,-0.0077956442103929565,-0.007171675753503195,-0.042274591959855445
-11.854931700260366,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.03979008015200147,-0.01582195276818702,-0.015495380844104772,-0.04955783357328368
-11.846491414803992,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.03499125634970923,-0.023845255287005415,-0.02381510599668886,-0.05682528872312709
-11.838051129347619,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.030192432547416104,-0.03186402953307793,-0.03212871926175222,-0.06407619993078925
-11.829610843891244,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.025393608745122975,-0.039876756710424406,-0.04043409652297673,-0.07130980049826652
-11.82117055843487,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.020594784942829847,-0.047881922609351715,-0.04872912419932214,-0.07852531483636323
-11.812730272978497,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.015795961140537607,-0.055878018747583566,-0.05701170191575909,-0.08572195881039255
-11.804289987522123,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.010997137338244478,-0.06386354350216797,-0.06527974513479057,-0.09289894010335492
-11.79584970206575,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.006198313535952238,-0.0718370032303917,-0.07353118774117956,-0.10005545859653221
-11.787409416609377,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.0013994897336591094,-0.07979691337792595,-0.08176398457251227,-0.10719070676744355
-11.778969131153003,1,ALL,w_clone,0.999,644754,0.02,0.98,500,-0.003399334068633131,-0.087741799572474,-0.08997611388852231,-0.11430387010500141
-11.770528845696628,1,ALL,w_clone,0.999,644754,0.02,0.98,500,-0.008198157870927147,-0.09567019870123118,-0.09816557977242267,-0.12139412754175141
-11.762088560240255,1,ALL,w_clone,0.999,644754,0.02,0.98,500,-0.012996981673219388,-0.10358065997050032,-0.10633041445782977,-0.12846065190294506
-11.753648274783881,1,ALL,w_clone,0.999,644754,0.02,0.98,500,-0.017795805475512516,-0.1114717459458879,-0.11446868057528285,-0.1355026103722766
-11.745207989327508,1,ALL,w_clone,0.999,644754,0.02,0.98,500,-0.022594629277804756,-0.11934203357150157,-0.12257847331270827,-0.14251916497392467
-11.736767703871134,1,ALL,w_clone,0.999,644754,0.02,0.98,500,-0.027393453080097885,-0.1271901151666827,-0.13065792248466918,-0.1495094730706496
-11.72832741841476,1,ALL,w_clone,0.999,644754,0.02,0.98,500,-0.032192276882390125,-0.13501459939883356,-0.1387051945056546,-0.15647268787753138
-11.719887132958387,1,ALL,w_clone,0.999,644754,0.02,0.98,500,-0.036991100684683254,-0.14281411223097262,-0.14671849426314135,-0.1634079589909871
-11.711446847502014,1,ALL,w_clone,0.999,644754,0.02,0.98,500,-0.041789924486975494,-0.15058729784271613,-0.1546960668866392,-0.17031443293258278
-11.70300656204564,1,ALL,w_clone,0.999,644754,0.02,0.98,500,-0.04658874828926862,-0.15833281952345413,-0.16263619940941929,-0.1771912537071822
-11.694566276589265,1,ALL,w_clone,0.999,644754,0.02,0.98,500,-0.05138757209156175,-0.16604936053656044,-0.1705372223201214,-0.18403756337489136
-11.686125991132892,1,ALL,w_clone,0.999,644754,0.02,0.98,500,-0.05618639589385488,-0.17373562495354106,-0.1783975110019221,-0.19085250263620818
-11.677685705676518,1,ALL,w_clone,0.999,644754,0.02,0.98,500,-0.06098521969614712,-0.18139033845713326,-0.18621548705747737,-0.19763521142979773
-11.669245420220145,1,ALL,w_clone,0.999,644754,0.02,0.98,500,-0.06578404349844025,-0.1890122491123904,-0.19398961951828617,-0.20438482954220405
-11.660805134763772,1,ALL,w_clone,0.999,644754,0.02,0.98,500,-0.07058286730073249,-0.19660012810492183,-0.2017184259376675,-0.211100497228824
-11.652364849307398,1,ALL,w_clone,0.999,644754,0.02,0.98,500,-0.07538169110302562,-0.20415277044550548,-0.20940047336698164,-0.21778135584538427
-11.643924563851025,1,ALL,w_clone,0.999,644754,0.02,0.98,500,-0.08018051490531786,-0.21166899564038066,-0.21703437921520136,-0.22442654848917465
-11.63548427839465,1,ALL,w_clone,0.999,644754,0.02,0.98,500,-0.08497933870761187,-0.2191476483266132,-0.22461881199238642,-0.23103522064918922
-11.627043992938276,1,ALL,w_clone,0.999,644754,0.02,0.98,500,-0.08977816250990411,-0.22658759887199348,-0.23215249193803333,-0.23760652086435252
-11.618603707481903,1,ALL,w_clone,0.999,644754,0.02,0.98,500,-0.09457698631219724,-0.23398774393904553,-0.23963419153571386,-0.2441396013889306
-11.61016342202553,1,ALL,w_clone,0.999,644754,0.02,0.98,500,-0.09937581011448948,-0.24134700701274928,-0.2470627359157521,-0.2506336188642112
-11.601723136569156,1,ALL,w_clone,0.999,644754,0.02,0.98,500,-0.10417463391678261,-0.24866433889171766,-0.2544370031481069,-0.25708773499548826
-11.593282851112782,1,ALL,w_clone,0.999,644754,0.02,0.98,500,-0.10897345771907485,-0.255938718142615,-0.26175592442793694,-0.2635011172333952
-11.584842565656409,1,ALL,w_clone,0.999,644754,0.02,0.98,500,-0.11377228152136709,-0.2631691515176946,-0.2690184841566517,-0.26987293945854085
-11.576402280200035,1,ALL,w_clone,0.999,644754,0.02,0.98,500,-0.11857110532366022,-0.2703546743354114,-0.27622371992153794,-0.27620238266844177
-11.567961994743662,1,ALL,w_clone,0.999,644754,0.02,0.98,500,-0.12336992912595246,-0.2774943508241393,-0.283370722377313,-0.28248863566567534
-11.559521709287287,1,ALL,w_clone,0.999,644754,0.02,0.98,500,-0.12816875292824648,-0.2845872744291023,-0.2904586350331962,-0.2887308957461653
-11.551081423830913,1,ALL,w_clone,0.999,644754,0.02,0.98,500,-0.1329675767305396,-0.29163256808268945,-0.29748665394928137,-0.29492836938651334
-11.54264113837454,1,ALL,w_clone,0.999,644754,0.02,0.98,500,-0.13776640053283185,-0.2986293844384258,-0.30445402734620863,-0.30108027292925243
-11.534200852918167,1,ALL,w_clone,0.999,644754,0.02,0.98,500,-0.14256522433512409,-0.3055769060688892,-0.3113600551322327,-0.30718583326489224
-11.525760567461793,1,ALL,w_clone,0.999,644754,0.02,0.98,500,-0.14736404813741721,-0.3124743456279801,-0.31820408835196223,-0.31324428850960545
-11.51732028200542,1,ALL,w_clone,0.999,644754,0.02,0.98,500,-0.15216287193970945,-0.31932094597798316,-0.3249855285611186,-0.31925488867743207
-11.508879996549044,1,ALL,w_clone,0.999,644754,0.02,0.98,500,-0.15696169574200347,-0.326115980281935,-0.3317038271317417,-0.3252168963458167
