dt,x_id,x_center,x_lo,x_hi,n,median_dx,median_lo,median_hi,ppos,ppos_lo,ppos_hi
1,13,-9.272,-9.337,-9.207,2061,-0.1215168862344082,-0.14902672119318566,-0.09059190969297187,0.40465793304221254,0.38131974769529353,0.4250606501698205
1,14,-9.136,-9.207,-9.065,2084,-0.1274802929938712,-0.152640724722648,-0.09811814482189746,0.4025911708253359,0.3809980806142035,0.4258757197696737
1,15,-8.9845,-9.065,-8.904,2062,-0.1349433634130452,-0.1610608339432477,-0.10947057843369644,0.38409311348205627,0.36443986420950536,0.4042798254122211
1,16,-8.812000000000001,-8.904,-8.72,2040,-0.1328364184141701,-0.16154994856706822,-0.10895937967383933,0.38676470588235295,0.3646813725490196,0.4081004901960784
1,17,-8.599,-8.72,-8.478,2050,-0.1394021402445364,-0.16192636809854072,-0.1209388480278192,0.3882926829268293,0.3673170731707317,0.4073170731707317
1,18,-8.301,-8.478,-8.124,2097,-0.1613229707454433,-0.1837620916528592,-0.13621116046256468,0.38149737720553173,0.3614687649022413,0.4036838340486409
1,19,-7.8125,-8.124,-7.501,2060,-0.1526847510775271,-0.1795588023584175,-0.124289368836548,0.3757281553398058,0.3567961165048544,0.3987985436893204
1,20,-5.2645,-7.501,-3.028,2040,-0.1420140152239799,-0.1763753520162423,-0.12285060944264611,0.3784313725490196,0.3561151960784314,0.3973161764705882
2,1,-11.2845,-11.825999999999999,-10.743,1043,0.4839220063414622,0.4491339243222846,0.5138342882358394,0.8935762224352828,0.8738974113135187,0.9113374880153403
2,2,-10.6405,-10.743,-10.538,1755,0.2841759039990297,0.2612704868287672,0.3199203196558149,0.7698005698005698,0.7512678062678063,0.7886324786324787
2,3,-10.4515,-10.538,-10.365,1802,0.2342416687501032,0.20649598411140876,0.2639163401973598,0.6864594894561599,0.6656354051054384,0.707838512763596
2,4,-10.293,-10.365,-10.221,1830,0.1711972970003987,0.1443031059362322,0.20011239105251868,0.6437158469945355,0.6218579234972678,0.6661475409836065
2,5,-10.161000000000001,-10.221,-10.101,1727,0.0741031842203252,0.05497276529910595,0.10477983341146542,0.5715112912565142,0.549203821656051,0.5917776491024899
2,6,-10.0475,-10.101,-9.994,1603,0.0769010215389265,0.04799126553462602,0.1072133324463653,0.5639426076107299,0.5408296943231441,0.5885995009357454
2,7,-9.9415,-9.994,-9.889,1568,0.0486553256226098,0.018253595623162762,0.077288223733243,0.5401785714285714,0.5102040816326531,0.5647480867346939
2,8,-9.834,-9.889,-9.779,1572,-0.0048045162876935,-0.0392619384533006,0.0260298804665229,0.4961832061068702,0.47264631043257,0.5200540712468192
2,9,-9.7265,-9.779,-9.674,1620,-0.0110714477012034,-0.042240768818012135,0.019503211871019305,0.49382716049382713,0.4718981481481481,0.5148456790123456
2,10,-9.621500000000001,-9.674,-9.569,1549,-0.0260975215314829,-0.0560214752225025,0.005267822867198445,0.47966429954809553,0.45832795351839895,0.5042285345384119
2,11,-9.5135,-9.569,-9.458,1479,-0.012060567707266,-0.0570138556986083,0.02312797704684344,0.4935767410412441,0.4695571331981068,0.5216531440162272
2,12,-9.3975,-9.458,-9.337,1492,-0.0290174826280171,-0.0744133265595863,0.0021695667732779243,0.4772117962466488,0.4530495978552279,0.5003518766756032
2,13,-9.272,-9.337,-9.207,1547,-0.0981353240982798,-0.12934912220571756,-0.07169224688923664,0.4350355526826115,0.4117647058823529,0.4602456367162249
2,14,-9.136,-9.207,-9.065,1550,-0.0979867469575559,-0.13480310900968565,-0.060749658872372506,0.432258064516129,0.40838709677419355,0.4567741935483871
2,15,-8.9845,-9.065,-8.904,1569,-0.1293090378935399,-0.1650579498267855,-0.1011986104358015,0.3977055449330784,0.3760356915232632,0.4228967495219885
2,16,-8.812000000000001,-8.904,-8.72,1495,-0.1194964181654878,-0.14410769421496233,-0.0900801949645231,0.4133779264214047,0.38792642140468225,0.4404849498327759
2,17,-8.599,-8.72,-8.478,1428,-0.1553012337389478,-0.1883441486933872,-0.12999297349881594,0.3753501400560224,0.35220588235294115,0.40059523809523806
2,18,-8.301,-8.478,-8.124,1463,-0.1445434727218142,-0.17352866210558773,-0.12093121965888086,0.3889268626110731,0.367053998632946,0.4128503075871497
2,19,-7.8125,-8.124,-7.501,1469,-0.1329443645735049,-0.15917721794770154,-0.09548037881244302,0.3934649421375085,0.3730428863172226,0.4193669162695711
2,20,-5.2645,-7.501,-3.028,1474,-0.1212226632333512,-0.15913310327900457,-0.0847946354036465,0.41655359565807326,0.3914179104477612,0.4369063772048847
3,1,-11.2845,-11.825999999999999,-10.743,1041,0.4358544197580674,0.4190383881348712,0.46353146197137646,0.9346781940441883,0.9212295869356388,0.950552353506244
3,2,-10.6405,-10.743,-10.538,1117,0.317443721020954,0.29253817960355394,0.3521602161715645,0.7448522829006267,0.7193151298119964,0.7681736794986571
3,3,-10.4515,-10.538,-10.365,1046,0.2473157752698203,0.2190690849272627,0.2784418921516734,0.6912045889101338,0.6615678776290631,0.7189292543021033
3,4,-10.293,-10.365,-10.221,1128,0.1786508565689004,0.15746396544518468,0.202311447536794,0.6418439716312057,0.6179078014184397,0.6689051418439717
3,5,-10.161000000000001,-10.221,-10.101,1141,0.1473279424907723,0.11254439100739613,0.17312390426934923,0.6380368098159509,0.6130368098159509,0.6647896581945661
3,6,-10.0475,-10.101,-9.994,1140,0.1067526134375818,0.08091875372085122,0.1425574303728662,0.6008771929824561,0.5718859649122807,0.629407894736842
3,7,-9.9415,-9.994,-9.889,1156,0.0861045485263254,0.06638096333784427,0.1141394116240164,0.5847750865051903,0.5553633217993079,0.6141868512110726
3,8,-9.834,-9.889,-9.779,1201,0.0227608277312807,-0.008520329852244,0.0567108841602799,0.5220649458784347,0.4912572855953372,0.5495836802664447
3,9,-9.7265,-9.779,-9.674,1182,-0.0103405602604897,-0.03651968476048794,0.0299997719322497,0.4983079526226734,0.4728849407783418,0.5258248730964467
3,10,-9.621500000000001,-9.674,-9.569,1242,-0.0728089290000628,-0.105745304623797,-0.03962155196442032,0.44363929146537845,0.41745169082125605,0.4714371980676328
3,11,-9.5135,-9.569,-9.458,1244,-0.1007972551715674,-0.1363243962373665,-0.06629041377485977,0.42443729903536975,0.39909565916398715,0.44740755627009643
3,12,-9.3975,-9.458,-9.337,1232,-0.133209512921459,-0.1683842150360917,-0.108211372260536,0.38392857142857145,0.3546266233766234,0.4099431818181818
3,13,-9.272,-9.337,-9.207,1220,-0.1433222563797631,-0.1873691554981551,-0.10952543760350604,0.38688524590163936,0.3581967213114754,0.4155737704918033
3,14,-9.136,-9.207,-9.065,1147,-0.1116004712905756,-0.15318995710459934,-0.0693686665439976,0.4385353095030514,0.40756320836966,0.4629468177855275
3,15,-8.9845,-9.065,-8.904,1190,-0.1685958741781714,-0.2052843070285686,-0.14158238246149607,0.3680672268907563,0.3377731092436975,0.39243697478991596
3,16,-8.812000000000001,-8.904,-8.72,1198,-0.2103117117466446,-0.23843738850267976,-0.1668646182533049,0.34974958263772954,0.32220367278797996,0.3760642737896494
3,17,-8.599,-8.72,-8.478,1202,-0.2183095831846646,-0.23802387312764445,-0.1788286441765177,0.3302828618968386,0.30449251247920134,0.3560732113144759
3,18,-8.301,-8.478,-8.124,1189,-0.1687489138375735,-0.20142044772316503,-0.1334556482024638,0.3523969722455845,0.3246425567703953,0.3801513877207738
3,19,-7.8125,-8.124,-7.501,1180,-0.1768286974619863,-0.21189040294571262,-0.14876473088759096,0.3652542372881356,0.34067796610169493,0.3911228813559322
3,20,-5.2645,-7.501,-3.028,1146,-0.1174156196846318,-0.15304905276136754,-0.0895843404933193,0.4005235602094241,0.37347294938917974,0.4271596858638743
4,1,-11.2845,-11.825999999999999,-10.743,1113,0.4402929955127046,0.41008787277067354,0.4718515239164205,0.862533692722372,0.8422955974842767,0.8809748427672957
4,2,-10.6405,-10.743,-10.538,847,0.4798553828964884,0.4490601947169121,0.501894550608456,0.7969303423848878,0.7691558441558441,0.8247048406139315
4,3,-10.4515,-10.538,-10.365,928,0.322672155468295,0.2932519054578915,0.3488074363515672,0.7640086206896551,0.7375808189655172,0.7931573275862068
4,4,-10.293,-10.365,-10.221,961,0.2803801693606385,0.23925058486544615,0.3208932140924776,0.7388137356919875,0.7143340270551509,0.7675598335067637
4,5,-10.161000000000001,-10.221,-10.101,1009,0.1366402710177467,0.0918197422606468,0.1801969063860711,0.6164519326065411,0.586199207135778,0.647175421209118
4,6,-10.0475,-10.101,-9.994,979,0.0969055789922457,0.0656627073890128,0.12708576382052544,0.5760980592441267,0.5449182839632278,0.6042134831460674
4,7,-9.9415,-9.994,-9.889,962,0.064132484312676,0.0254033784895284,0.0976208019282241,0.5561330561330561,0.5233627858627858,0.5873180873180873
4,8,-9.834,-9.889,-9.779,894,0.063165040791846,0.035439465097081,0.08388930203543245,0.5615212527964206,0.526258389261745,0.5906040268456376
4,9,-9.7265,-9.779,-9.674,848,0.0040599179251081,-0.0443617028492546,0.0412418167743489,0.5023584905660378,0.46989976415094337,0.5341981132075472
4,10,-9.621500000000001,-9.674,-9.569,814,-0.05220291136356,-0.0908275902187283,0.0047674830696706,0.47174447174447176,0.4367014742014742,0.5031019656019655
4,11,-9.5135,-9.569,-9.458,802,-0.0183868439881393,-0.0435612559400357,0.028157026346242172,0.48753117206982544,0.4519638403990025,0.5206047381546134
4,12,-9.3975,-9.458,-9.337,777,-0.0492506673087103,-0.09397522524044964,-0.0071850464591314,0.46332046332046334,0.4291827541827542,0.4980694980694981
4,13,-9.272,-9.337,-9.207,780,-0.0396401179033603,-0.0704029592721861,0.0195372798785413,0.47435897435897434,0.4371794871794872,0.5089743589743589
4,14,-9.136,-9.207,-9.065,778,-0.0437024985384812,-0.0648801030382237,0.021909797993335596,0.47429305912596403,0.438913881748072,0.5142030848329049
4,15,-8.9845,-9.065,-8.904,754,-0.0346714900603171,-0.08101497811511821,0.005986438918907091,0.46684350132625996,0.4356432360742706,0.5026525198938993
4,16,-8.812000000000001,-8.904,-8.72,781,-0.0819172041793603,-0.12625695122602998,-0.05524218052584898,0.4212548015364917,0.3866837387964149,0.4532650448143406
4,17,-8.599,-8.72,-8.478,810,-0.0958920166469461,-0.1329137145908436,-0.0479551672349762,0.42098765432098767,0.39012345679012345,0.4543827160493827
4,18,-8.301,-8.478,-8.124,784,-0.1059115393721494,-0.13912317757559695,-0.06984179077210957,0.4017857142857143,0.3647959183673469,0.4330676020408163
4,19,-7.8125,-8.124,-7.501,807,-0.1213099067733072,-0.16188063054392815,-0.085730763888983,0.39776951672862454,0.3630731102850062,0.4269206939281288
4,20,-5.2645,-7.501,-3.028,812,-0.1207384044813668,-0.1482779533587184,-0.07732986013895211,0.4014778325123153,0.36388546798029553,0.43349753694581283
5,1,-11.2845,-11.825999999999999,-10.743,740,0.711591888584854,0.6775761603484298,0.7491116916260137,0.9986486486486487,0.995945945945946,1.0
5,2,-10.6405,-10.743,-10.538,377,0.6657177748317586,0.5998217313585386,0.712092501461457,0.9442970822281167,0.9204244031830239,0.9655172413793104
5,3,-10.4515,-10.538,-10.365,367,0.4578654189562918,0.4214842593974435,0.49065187812490546,0.8419618528610354,0.8092643051771117,0.8773841961852861
5,4,-10.293,-10.365,-10.221,336,0.3755655029629619,0.32698213996573533,0.4351369847443145,0.8273809523809523,0.7857142857142857,0.8676339285714285
5,5,-10.161000000000001,-10.221,-10.101,319,0.2965768266658735,0.2583428653433492,0.3593966801735731,0.774294670846395,0.7224921630094043,0.8150470219435737
5,6,-10.0475,-10.101,-9.994,372,0.1882164307474898,0.1417005290487747,0.2760680218506907,0.6935483870967742,0.6559139784946236,0.7352822580645161
5,7,-9.9415,-9.994,-9.889,357,0.1503131821899508,0.0974587386781973,0.2122666823723982,0.6386554621848739,0.5910364145658263,0.6890756302521008
5,8,-9.834,-9.889,-9.779,322,0.077491867904424,0.015778118450229618,0.1478689139346531,0.5683229813664596,0.5186335403726708,0.6273291925465838
5,9,-9.7265,-9.779,-9.674,286,0.0810201005483026,-0.0113241510335519,0.1305040507871986,0.548951048951049,0.48951048951048953,0.5997377622377621
5,10,-9.621500000000001,-9.674,-9.569,270,0.0222288777611758,-0.0601284490277979,0.11580146320983035,0.5111111111111111,0.4573148148148148,0.5740740740740741
5,11,-9.5135,-9.569,-9.458,287,-0.0038613259253512,-0.07561505137861146,0.0634627586949037,0.4912891986062718,0.43902439024390244,0.5488675958188153
5,12,-9.3975,-9.458,-9.337,286,-0.0503953391241172,-0.1021311718799308,0.0309404184194814,0.4755244755244755,0.4125874125874126,0.5244755244755245
5,13,-9.272,-9.337,-9.207,294,-0.0824822621229284,-0.1716592162544472,-0.013758352690666522,0.43197278911564624,0.3723639455782313,0.48639455782312924
5,14,-9.136,-9.207,-9.065,343,-0.3063273618505828,-0.4202417234992079,-0.2457830163609209,0.32653061224489793,0.2783527696793003,0.37317784256559766
5,15,-8.9845,-9.065,-8.904,329,-0.1314247730861826,-0.285190140902112,-0.0621694284299731,0.3860182370820669,0.33275075987841946,0.43465045592705165
5,16,-8.812000000000001,-8.904,-8.72,389,-0.1661841766079064,-0.2236950317408741,-0.0843341481889066,0.40616966580976865,0.35732647814910024,0.4537917737789202
5,17,-8.599,-8.72,-8.478,410,-0.1862502273204462,-0.25756293853105927,-0.1145337052194594,0.4,0.35097560975609754,0.45121951219512196
5,18,-8.301,-8.478,-8.124,371,-0.209549836385003,-0.252611325929287,-0.11581024513558975,0.3665768194070081,0.31805929919137466,0.4245956873315363
5,19,-7.8125,-8.124,-7.501,385,-0.1132684757837836,-0.1535341769563949,-0.0420814630930479,0.4051948051948052,0.3518831168831169,0.44415584415584414
5,20,-5.2645,-7.501,-3.028,431,-0.0822922467484739,-0.1676839764474333,-0.014954672860596194,0.4361948955916473,0.39211136890951276,0.4872389791183295
