rep,n,ou_a,ou_b,ou_x_star,ou_tau,ou_sse,ou_aic,ou_bic,tanh_A,tanh_Delta,tanh_x_star,tanh_tau_local,tanh_sse,tanh_aic,tanh_bic,rat_A,rat_Delta,rat_x_star,rat_tau_local,rat_sse,rat_aic,rat_bic,hinge_a,hinge_b,hinge_A,hinge_x_c,hinge_Delta,hinge_tau_from_b,hinge_sse,hinge_aic,hinge_bic,delta_aic_tanh,delta_bic_tanh,delta_aic_rat,delta_bic_rat,delta_aic_hinge,delta_bic_hinge
104,645298,-4.528770760821911,-0.3965571782521003,-11.420221368286189,2.5217044472821963,410987.50481440796,-291121.8142202538,-291099.0592852446,0.6327274398044774,0.757069979659485,-11.671291107970706,1.1965183300623587,389173.8143878063,-326312.2664894991,-326278.1340869853,0.6759325900122553,0.7618217334029969,-11.671028868993599,1.1270676168894067,389682.9676039227,-325468.5796745347,-325434.4472720209,-8.7458940238155,-0.7542917334043813,0.33124531372486715,-11.032214166775928,0.6254767021289814,1.3257469964394966,374644.7069260538,-350860.52528903785,-350803.6379515149,-35190.45226924529,-35179.0748017407,-34346.76545428089,-34335.3879867763,-59738.71106878406,-59704.5786662703
105,646009,-4.530183902431634,-0.39677082617952286,-11.417633564575405,2.5203465930923565,410525.0642375735,-292881.2675528974,-292858.5104154683,0.6286197972961368,0.7533974160155378,-11.66981343731838,1.198494573756829,389425.81056585547,-326965.03526140266,-326930.899555259,0.6717610054831682,0.7586327942304399,-11.66955475122866,1.1293194871958796,389909.1604682703,-326163.715062128,-326129.5793559843,-8.571767817994886,-0.7403326280299869,0.35175045589330733,-11.088479117767621,0.5911626473510716,1.350744195431429,374903.7843161076,-351511.9327185835,-351455.0398750107,-34083.76770850527,-34072.38913979067,-33282.44750923058,-33271.06894051598,-58630.66516568611,-58596.52945954242
106,645747,-4.5360658612270255,-0.3974527428001703,-11.412843271049335,2.5160223903720196,410617.0800550185,-292355.8133977337,-292333.05707160337,0.6291848259491996,0.7527621583416093,-11.670461366803718,1.1964086343086529,389681.18031389825,-326147.163632038,-326113.02914284245,0.6726245249529776,0.7588673735390747,-11.670128568833398,1.1282184121849055,390181.7403170238,-325318.20983470755,-325284.075345512,-8.529875140992985,-0.7373126913033119,0.3630772518049745,-11.140651179347339,0.5656930133163662,1.3562766676813178,374660.62760717917,-351526.37736834225,-351469.4865530163,-33791.350234304264,-33779.972071239084,-32962.396436973824,-32951.018273908645,-59170.56397060852,-59136.429481412924
107,643856,-4.5268803320733815,-0.3964779992446831,-11.41773399961004,2.5222080466130943,409480.8425489114,-291395.554213703,-291372.80375294783,0.6274221185989126,0.7476849622025805,-11.67380339096084,1.1916777238778657,388229.4493714032,-325706.95219348563,-325672.82650235284,0.6697924838635296,0.7508896949358141,-11.673801078213774,1.1210781145295863,388708.78890673723,-324912.48576149653,-324878.36007036373,-8.567745412438915,-0.7400624906520935,0.3559535573106063,-11.108636009626139,0.5843807823745281,1.3512372436533933,373770.8717316781,-350139.58077749447,-350082.7046256065,-34311.3979797826,-34300.022749405005,-33516.9315477935,-33505.5563174159,-58744.02656379144,-58709.90087265865
108,644739,-4.559617730532309,-0.39917903157328655,-11.422488081504337,2.505141605406212,410400.04254621797,-291233.10796573886,-291210.35476401343,0.6302435774135062,0.7534689641892486,-11.675610482764068,1.1955202578683217,389863.19780955,-324329.74827768526,-324295.6184750971,0.6735828430289039,0.7589082759867538,-11.67547158338967,1.1266739998515498,390333.6458306054,-323552.2105937509,-323518.08079116273,-8.504944720886263,-0.7352839376741686,0.3689013371806274,-11.144974008395844,0.5748242115055563,1.3600188291385429,375390.83041570365,-348715.06737768603,-348658.1843733724,-33096.640311946394,-33085.26371108368,-32319.102628012013,-32307.7260271493,-57481.95941194717,-57447.829609358974
109,645337,-4.534870690443058,-0.3971931598273693,-11.417293017870785,2.517666720229086,409580.2489748828,-293391.8902166774,-293369.1351607975,0.6323721052673158,0.7641433616608934,-11.670691875271837,1.2083761369231734,388785.1857054647,-327015.7444571827,-326981.61187336285,0.6758570574686589,0.7695690494643055,-11.67078794241826,1.138656526494868,389273.10489181173,-326206.3646226906,-326172.23203887074,-8.666555317363457,-0.7486586043262765,0.34302087536756404,-11.09253328430398,0.6273088037048747,1.3357223095030177,374103.01324153156,-351854.4913031575,-351797.6036634578,-33623.854240505316,-33612.476712565345,-32814.47440601321,-32803.09687807324,-58462.601086480136,-58428.46850266028
110,645078,-4.559826671681599,-0.3992814666212573,-11.42008095258494,2.5044989151689343,408332.8763889685,-294982.76677786134,-294960.01252482395,0.634175164882421,0.7637492350555305,-11.67148170015761,1.2043190546528784,387392.2651983258,-328940.85320340254,-328906.72182384646,0.6785434479629451,0.7711906949538807,-11.671202987428844,1.136538415143602,387876.27502165904,-328135.3926096002,-328101.2612300441,-8.604941035380582,-0.7434792468104148,0.3552242489345858,-11.115588761630697,0.5958491446323582,1.345027456099252,372575.9776126418,-354092.8316478991,-354035.94601530564,-33958.0864255412,-33946.70929902251,-33152.62583173887,-33141.248705220176,-59110.06487003778,-59075.93349048169
111,644487,-4.532694906862504,-0.3970771282402486,-11.415149814723225,2.5184024182701283,409317.54312506376,-292569.51469536964,-292546.76227550866,0.6319707722558561,0.7608899039541713,-11.668831475819095,1.203995401936281,388143.4422502478,-326800.264094106,-326766.13546431455,0.6756614891220172,0.7671327312303606,-11.668635090885031,1.1353802807781823,388642.4180463827,-325972.2792540318,-325938.15062424034,-8.614681049319595,-0.7441344734924533,0.34960130535714273,-11.093398412641974,0.6000267844907228,1.3438431300013431,373448.30332756246,-351670.48751574365,-351613.60646609124,-34230.74939873634,-34219.37318880588,-33402.76455866214,-33391.38834873168,-59100.97282037401,-59066.844190582575
112,644180,-4.560209016835241,-0.39930021508193503,-11.420502280219162,2.504381320693262,408511.09627846064,-293393.6512530515,-293370.8997861132,0.6331032571334383,0.7639046090264605,-11.6712318107598,1.206603504908921,388017.8681716784,-326546.1057691963,-326511.97856878885,0.6780416288866636,0.773392266089001,-11.670760220437064,1.1406265237119761,388490.0819166403,-325762.6220001166,-325728.4947997092,-8.481728443031798,-0.7338860837625174,0.37112231700500387,-11.159834719056652,0.5772312511084574,1.3626092960819733,373494.55179945275,-351116.2669954742,-351059.3883281285,-33152.45451614482,-33141.07878267567,-32368.97074706515,-32357.595013596,-57722.6157424227,-57688.488542015315
113,644487,-4.539202775543846,-0.39763974725644213,-11.415364804103614,2.514839139949179,409777.7476648461,-291845.3111069119,-291822.55868705094,0.6291116839857943,0.7534391002623612,-11.670517553693918,1.1976237597255852,388743.02316269756,-325805.46704859723,-325771.3384188058,0.6721964424594112,0.7585569238604886,-11.670352135859353,1.128475064647924,389247.73134391935,-324969.26711861504,-324935.1384888236,-8.780070711346013,-0.7572423299654135,0.32500935776060735,-11.040923367269228,0.6309279850867915,1.3205812200774278,373927.2311693708,-350844.4963078801,-350787.6152582277,-33960.15594168531,-33948.779731754854,-33123.95601170312,-33112.57980177266,-58999.185200968175,-58965.05657117674
114,643583,-4.561553712141529,-0.39929601181512037,-11.42399016560574,2.5044076835483495,408061.2144459198,-293234.1693798757,-293211.419767316,0.6344747067418401,0.7654995074276724,-11.673997756810845,1.2065091000375285,387271.75214417465,-326885.4784413415,-326851.354022502,0.6788478991866076,0.7730777848663996,-11.67381646185939,1.1388085398698262,387761.33180983126,-326072.3900754505,-326038.265656611,-8.669640255611435,-0.7488094988230102,0.34900119793712586,-11.104655036282532,0.6174418460999556,1.3354531447208065,372618.45652312407,-351705.5412767156,-351648.66724531644,-33651.309061465785,-33639.934255186,-32838.22069557477,-32826.845889294986,-58471.371896839875,-58437.24747800041
115,644791,-4.5680610830574295,-0.4000326645097049,-11.419220199570995,2.499795863484392,409294.07322404376,-293048.5640553222,-293025.8106922977,0.6360020111429407,0.7660755794324656,-11.671157432587437,1.2045175424143288,388555.001839937,-326575.1598829051,-326541.0298383683,0.6806784614624511,0.7742659191512956,-11.67089854702482,1.1374914338963655,389048.52190845937,-325756.70335201133,-325722.57330747455,-8.681773423748629,-0.7496037201676754,0.344742293796571,-11.07980502223708,0.6185293535586309,1.33403820324733,373834.8345451831,-351473.4097740508,-351416.52636648953,-33526.595827582874,-33515.219146070594,-32708.13929668913,-32696.76261517685,-58424.84571872861,-58390.71567419183
116,645519,-4.55108861242817,-0.39855533408266164,-11.41896299770576,2.509061890494224,409835.06574873853,-293255.18119230407,-293232.4255724573,0.6293640958545642,0.7542307956575474,-11.67130768807758,1.1984013715199886,389239.72992385,-326535.73673902516,-326501.60330925504,0.6729179403255993,0.7605463074717361,-11.670917966571709,1.1302214755988478,389721.366362001,-325737.4798991875,-325703.3464694174,-8.556570246049642,-0.7391892156747054,0.35620460699830914,-11.10800694669975,0.5824784368195882,1.352833589552894,374744.6975207651,-351029.4659094058,-350972.57685978885,-33280.555546721094,-33269.17773679772,-32482.298706883448,-32470.920896960073,-57774.28471710172,-57740.15128733154
117,643761,-4.510832489769347,-0.3949446015534509,-11.421430934938,2.532000680770572,409446.11503495835,-291312.16446068266,-291289.4142950463,0.6252847443977777,0.7415878761440882,-11.677939327025056,1.1860002707379722,387839.5648514665,-326210.73102001764,-326176.6057715631,0.6674191499180147,0.74474000942624,-11.677484595432054,1.115850525891748,388324.32754167245,-325406.5932397226,-325372.46799126803,-8.58988370245285,-0.7413144454217133,0.3547596723433153,-11.104623144254283,0.5718785827878452,1.3489552323928176,373278.1858996297,-350842.0566433797,-350785.1812292887,-34898.566559334984,-34887.191476516775,-34094.42877903994,-34083.05369622173,-59529.89218269702,-59495.76693424239
118,644930,-4.526959455225882,-0.3965284673918986,-11.416480347555423,2.521887032669652,411112.7029376316,-290391.46264932473,-290368.7088551992,0.6297281377530562,0.7565444099887898,-11.67182108834766,1.2013825723084708,390185.9772346377,-324083.1230981827,-324048.99240699445,0.6728970419551075,0.7617637151208191,-11.67160404376783,1.1320657806839347,390669.21868576965,-323284.8779165051,-323250.7472253168,-8.579151484213197,-0.7415854556447076,0.3584651978061823,-11.132517255154347,0.5909205175274228,1.3484622606718144,375444.3426426596,-348917.4746693195,-348860.59018400573,-33691.66044885799,-33680.28355179523,-32893.41526718036,-32882.0383701176,-58526.012019994785,-58491.881328806514
119,642803,-4.54775941205433,-0.39820167128054107,-11.420744160690232,2.5112903137352225,408152.62372888083,-291955.2704998171,-291932.52331265726,0.629817596754507,0.7518482188503638,-11.676223873130606,1.1937554979801912,387504.29059280007,-325323.91320808535,-325289.7924273456,0.6725868975969638,0.7556394998259023,-11.676258438295314,1.123482337413457,387967.83314895397,-324555.43534256355,-324521.3145618238,-8.479260490788178,-0.7333610571157906,0.371995809465802,-11.160504672740247,0.5715051877561627,1.3635848130971995,372967.2480529645,-349898.3294439169,-349841.4614760173,-33368.64270826825,-33357.26911468833,-32600.164842746453,-32588.791249166534,-57943.058944099816,-57908.93816336006
