bin,x0_lo,x0_hi,x0_mid,n,resid_med,mad,sigma_mad,var_mad,mean_resid2,D_var_mad,D_mean_resid2,D_mad2,model,dt,obs_class,weight_col,weight_cap_q,nbins_diff,min_per_bin_diff
0,-13.745778305127477,-12.851467988763098,-13.08684085701425,32118,0.46553177204675233,0.3814425259226687,0.5655266889329486,0.31982043589546394,0.6544261934670084,0.15991021794773197,0.3272130967335042,0.0727492002911329,rational_saturating,1,ALL,unweighted,,20,200
1,-12.851467988763098,-12.616466174220095,-12.717512813561536,31924,0.14367067360161878,0.40955780852838175,0.6072104069241787,0.3687044782770267,0.4506033700318129,0.18435223913851334,0.22530168501590644,0.0838687992632853,rational_saturating,1,ALL,unweighted,,20,200
2,-12.616466174220095,-12.403731537090604,-12.501481883886775,31311,0.1638853882361258,0.44556464815993496,0.6605941473619196,0.4363846275288215,0.4506829033297877,0.21819231376441076,0.22534145166489386,0.09926392784494331,rational_saturating,1,ALL,unweighted,,20,200
3,-12.403731537090604,-12.27907382426767,-12.336658280325969,33554,-0.03412641771569147,0.43942389259436215,0.6514898631604013,0.42443904180075837,0.4442554970103048,0.21221952090037918,0.2221277485051524,0.09654667869139076,rational_saturating,1,ALL,unweighted,,20,200
4,-12.27907382426767,-12.12977682455901,-12.18882144650468,32232,0.008984632370647616,0.4866338337516854,0.7214833219202488,0.5205381838090773,0.5049493057691421,0.2602690919045387,0.25247465288457105,0.11840624407593149,rational_saturating,1,ALL,unweighted,,20,200
5,-12.12977682455901,-12.017282210422035,-12.056671612243909,31714,-0.12148540640762895,0.4700957066838778,0.6969638947295171,0.48575867055653743,0.5074216776549797,0.24287933527826872,0.25371083882748985,0.11049498672130723,rational_saturating,1,ALL,unweighted,,20,200
6,-12.017282210422035,-11.894612166086493,-11.955149926079956,32767,-0.05587291715627968,0.5083858039294971,0.7537327929058723,0.5681131231016865,0.5139856101509057,0.28405656155084325,0.25699280507545286,0.1292280628185205,rational_saturating,1,ALL,unweighted,,20,200
7,-11.894612166086493,-11.757940336233895,-11.822248159564992,32240,-0.041786209307155715,0.49080343530406434,0.7276651731818058,0.5294966042617074,0.5274793183540157,0.2647483021308537,0.26373965917700787,0.12044400605313543,rational_saturating,1,ALL,unweighted,,20,200
8,-11.757940336233895,-11.642284912965152,-11.688207126531818,32196,-0.10240696724885626,0.5283720164519785,0.7833643515917033,0.6136597073446897,0.5666257514371194,0.30682985367234483,0.2833128757185597,0.13958849388476494,rational_saturating,1,ALL,unweighted,,20,200
9,-11.642284912965152,-11.516584476799252,-11.594290069440897,32264,-0.03994935587837693,0.5313184231434696,0.7877326941525079,0.6205227974367685,0.5874334901957189,0.31026139871838426,0.29371674509785944,0.14114963338583147,rational_saturating,1,ALL,unweighted,,20,200
10,-11.516584476799252,-11.387217733138815,-11.45044903322954,32292,-0.004441923108959689,0.5431376421631955,0.8052558682711536,0.6484370133851295,0.6106741293000877,0.32421850669256475,0.30533706465004384,0.1474992491672977,rational_saturating,1,ALL,unweighted,,20,200
11,-11.387217733138815,-11.258813555880218,-11.325094720585987,32066,-0.03866584615830154,0.5487243673088824,0.813538746972149,0.6618452928250143,0.6213822234284793,0.3309226464125071,0.31069111171423963,0.15054921563926665,rational_saturating,1,ALL,unweighted,,20,200
12,-11.258813555880218,-11.110992424862156,-11.189085590266348,32377,-0.011415562211093522,0.5854961173226506,0.8680565435425618,0.7535221627870594,0.6800729125103175,0.3767610813935297,0.34003645625515877,0.17140285169994954,rational_saturating,1,ALL,unweighted,,20,200
13,-11.110992424862156,-10.954524827623962,-11.028636069510126,32132,0.07776859151643653,0.5869934761014182,0.8702765276679625,0.7573812346098059,0.6845638446925054,0.37869061730490294,0.3422819223462527,0.1722806704928131,rational_saturating,1,ALL,unweighted,,20,200
14,-10.954524827623962,-10.785304516739837,-10.86927554014958,32375,0.10534418775743476,0.5811585252589795,0.8616256295489629,0.7423987254956467,0.7026989569951391,0.37119936274782334,0.35134947849756953,0.16887261574059595,rational_saturating,1,ALL,unweighted,,20,200
15,-10.785304516739837,-10.595842752855896,-10.696443788613934,31639,0.12788765853167516,0.5903849817660524,0.8753047739663492,0.7661584473282816,0.7174292722361163,0.3830792236641408,0.35871463611805815,0.174277213347451,rational_saturating,1,ALL,unweighted,,20,200
16,-10.595842752855896,-10.363073172549734,-10.486884595272876,32830,0.14117445793865396,0.5826993669281364,0.863910081407655,0.7463406287577811,0.7164590059499428,0.37317031437889053,0.3582295029749714,0.16976927610922546,rational_saturating,1,ALL,unweighted,,20,200
17,-10.363073172549734,-10.059158857616866,-10.220654612394164,32243,0.15395854310584872,0.5622599830627046,0.8336066508887658,0.6949000484059847,0.7140723505366237,0.34745002420299237,0.35703617526831183,0.15806814427683646,rational_saturating,1,ALL,unweighted,,20,200
18,-10.059158857616866,-9.568196153530325,-9.853898068977037,32226,0.18617157730866457,0.534803639153983,0.7928998754096951,0.62869021242471,0.6992889297089263,0.314345106212355,0.34964446485446316,0.14300746622617183,rational_saturating,1,ALL,unweighted,,20,200
19,-9.568196153530325,-3.039465617682323,-9.09410743865783,32254,0.3273840706906319,0.4672229585355763,0.6927047583248455,0.47983988220588253,0.7161688466955731,0.23991994110294126,0.35808442334778656,0.10914864649136843,rational_saturating,1,ALL,unweighted,,20,200
0,-13.745778305127477,-12.851467988763098,-13.08684085701425,32118,-0.06046271045896878,0.3859570213563599,0.5722198798629392,0.32743559091035657,0.339130096673694,0.16371779545517828,0.169565048336847,0.07448141116713683,hinge_plateau_smooth,1,ALL,unweighted,,20,200
1,-12.851467988763098,-12.616466174220095,-12.717512813561536,31924,-0.09683388952422267,0.4139822042619149,0.613770016038715,0.3767136325881644,0.403291732277607,0.1883568162940822,0.2016458661388035,0.08569063272277691,hinge_plateau_smooth,1,ALL,unweighted,,20,200
2,-12.616466174220095,-12.403731537090604,-12.501481883886775,31311,0.0598840504400987,0.4449986027338637,0.6597549284132262,0.4352765655655413,0.41413210620014196,0.21763828278277064,0.20706605310007098,0.09901187821754553,hinge_plateau_smooth,1,ALL,unweighted,,20,200
3,-12.403731537090604,-12.27907382426767,-12.336658280325969,33554,-0.05895620794230777,0.4285777050553052,0.6354093055149954,0.4037449855350488,0.444834923356192,0.2018724927675244,0.222417461678096,0.09183942463523607,hinge_plateau_smooth,1,ALL,unweighted,,20,200
4,-12.27907382426767,-12.12977682455901,-12.18882144650468,32232,0.04563328211383655,0.49103636418672675,0.7280105135432411,0.5299993078294937,0.5081620459546612,0.26499965391474684,0.2540810229773306,0.12055835547685988,hinge_plateau_smooth,1,ALL,unweighted,,20,200
5,-12.12977682455901,-12.017282210422035,-12.056671612243909,31714,-0.058740478025032544,0.47048284458387113,0.6975378653800473,0.4865590736389529,0.5013825871354118,0.24327953681947645,0.2506912935677059,0.11067705352386552,hinge_plateau_smooth,1,ALL,unweighted,,20,200
6,-12.017282210422035,-11.894612166086493,-11.955149926079956,32767,0.020489005609041683,0.5079171446362689,0.7530379586377323,0.5670661671492829,0.5148720194119628,0.28353308357464146,0.2574360097059814,0.12898991290773026,hinge_plateau_smooth,1,ALL,unweighted,,20,200
7,-11.894612166086493,-11.757940336233895,-11.822248159564992,32240,0.02829128181894886,0.4929110599735013,0.7307899375167131,0.5340539327756814,0.528485854466859,0.2670269663878407,0.2642429272334295,0.12148065652210031,hinge_plateau_smooth,1,ALL,unweighted,,20,200
8,-11.757940336233895,-11.642284912965152,-11.688207126531818,32196,-0.048827275251650634,0.5284733477904482,0.7835145854341184,0.6138951055879985,0.5633744101539244,0.30694755279399927,0.2816872050769622,0.139642039662422,hinge_plateau_smooth,1,ALL,unweighted,,20,200
9,-11.642284912965152,-11.516584476799252,-11.594290069440897,32264,-0.011386558545845457,0.5287859235162448,0.7839780102051844,0.6146215204852803,0.5843594907613995,0.30731076024264015,0.29217974538069974,0.13980727645446392,hinge_plateau_smooth,1,ALL,unweighted,,20,200
10,-11.516584476799252,-11.387217733138815,-11.45044903322954,32292,-0.004554144518911368,0.5439414939594607,0.8064476589442964,0.6503578266167361,0.6117348057202784,0.32517891330836807,0.3058674028601392,0.147936174425425,hinge_plateau_smooth,1,ALL,unweighted,,20,200
11,-11.387217733138815,-11.258813555880218,-11.325094720585987,32066,-0.062144342828799826,0.547681132534267,0.8119920470953041,0.6593310845460226,0.6232409958523194,0.3296655422730113,0.3116204979261597,0.14997731146700866,hinge_plateau_smooth,1,ALL,unweighted,,20,200
12,-11.258813555880218,-11.110992424862156,-11.189085590266348,32377,-0.054989013670703524,0.5835982981877625,0.8652428368931767,0.7486451667949524,0.6802469983284847,0.3743225833974762,0.34012349916424234,0.1702934868238263,hinge_plateau_smooth,1,ALL,unweighted,,20,200
13,-11.110992424862156,-10.954524827623962,-11.028636069510126,32132,0.02118751772751032,0.587404591055374,0.8708860466986975,0.758442506334486,0.6786359896557401,0.379221253167243,0.33931799482787006,0.17252207679646558,hinge_plateau_smooth,1,ALL,unweighted,,20,200
14,-10.954524827623962,-10.785304516739837,-10.86927554014958,32375,0.03842785290241402,0.5813939608502817,0.8619746863566277,0.7430003599196067,0.6953706323264388,0.37150017995980333,0.3476853161632194,0.16900946885658946,hinge_plateau_smooth,1,ALL,unweighted,,20,200
15,-10.785304516739837,-10.595842752855896,-10.696443788613934,31639,0.052636723821106624,0.5908458215723226,0.8759880150631254,0.7673550025342344,0.709952922839961,0.3836775012671172,0.3549764614199805,0.1745493924347364,hinge_plateau_smooth,1,ALL,unweighted,,20,200
16,-10.595842752855896,-10.363073172549734,-10.486884595272876,32830,0.04467579040345743,0.5821160674299214,0.8630452815716014,0.7448471580430048,0.7093342448892366,0.3724235790215024,0.3546671224446183,0.1694295579800384,hinge_plateau_smooth,1,ALL,unweighted,,20,200
17,-10.363073172549734,-10.059158857616866,-10.220654612394164,32243,0.030334366515142763,0.5620018778024118,0.8332239840298558,0.6942622075625853,0.7066545037245097,0.34713110378129264,0.35332725186225483,0.15792305532671852,hinge_plateau_smooth,1,ALL,unweighted,,20,200
18,-10.059158857616866,-9.568196153530325,-9.853898068977037,32226,0.015908116766916752,0.5343870970058386,0.7922823100208564,0.6277112587719843,0.6954704063443347,0.31385562938599215,0.34773520317216733,0.1427847847231638,hinge_plateau_smooth,1,ALL,unweighted,,20,200
19,-9.568196153530325,-3.039465617682323,-9.09410743865783,32254,0.07646226986237187,0.46283597502008506,0.686200616564778,0.4708712861738815,0.6852876512429392,0.23543564308694076,0.3426438256214696,0.1071085698863964,hinge_plateau_smooth,1,ALL,unweighted,,20,200
