rep,model,intercept,slope,xstar,sse,tau
35,hinge_plateau_smooth,-8.997618445806063,-0.7664965635935642,-11.21818199607075,3725.4919827441304,1.3046372906248949
36,hinge_plateau_smooth,-8.959918785511851,-0.7634586202940887,-11.21446811286984,3388.7124341180306,1.3098286841201612
37,hinge_plateau_smooth,-9.214092561657617,-0.7837832912558418,-11.267479774956673,3510.7383578330296,1.2758628707148352
38,hinge_plateau_smooth,-8.98071892314925,-0.7652699175142688,-11.21495103685475,3458.063287804376,1.3067284850921304
39,hinge_plateau_smooth,-9.290194102461387,-0.7903093507078659,-11.264829530073728,3551.8680531703403,1.2653273039276556
40,hinge_plateau_smooth,-8.912500792268986,-0.7595522435055976,-11.211840892243497,3637.837934083033,1.3165651323530458
41,hinge_plateau_smooth,-8.940052438335146,-0.7617321548637661,-11.21446811286984,3319.8487661516906,1.3127974099752262
42,hinge_plateau_smooth,-8.92371221640466,-0.7602313890137091,-11.216738277908943,3166.324628701712,1.3153889913666366
43,hinge_plateau_smooth,-9.223229063336658,-0.7843895638516427,-11.26981597615753,3198.5126977433647,1.274876727183404
44,hinge_plateau_smooth,-8.963513432502467,-0.7638834263029678,-11.216040192051336,3455.4489820344534,1.30910027049518
45,hinge_plateau_smooth,-8.911225111757922,-0.7593673811502645,-11.21495103685475,3586.5833643986452,1.316885640367161
46,hinge_plateau_smooth,-8.930189287024714,-0.7610014068805013,-11.21351233588003,3268.706957646039,1.314058017447303
47,hinge_plateau_smooth,-9.236761285909125,-0.7857443911420815,-11.264829530073728,3562.521856416841,1.2726785087787866
48,hinge_plateau_smooth,-8.901190945535689,-0.7586710067059714,-11.213024152906632,3869.931870679853,1.3180943929066706
49,hinge_plateau_smooth,-8.939191586370969,-0.7616175924040366,-11.218450042248886,2965.5687835447043,1.312994880860764
50,hinge_plateau_smooth,-9.233696780878075,-0.7856027617657791,-11.26348971876676,3752.635076555128,1.272907948735218
51,hinge_plateau_smooth,-9.26011286850331,-0.7877673986195436,-11.265797146271748,3407.102963306513,1.269410236768322
52,hinge_plateau_smooth,-8.989713575088023,-0.765942034678685,-11.218469505911354,3269.894291190599,1.3055818256788883
53,hinge_plateau_smooth,-8.987554566365187,-0.7660267632186415,-11.215317800256017,2756.479753604647,1.3054374181370179
54,hinge_plateau_smooth,-9.013298522558259,-0.7678031923348227,-11.217076407027871,3582.4270532005607,1.302417090711862
55,hinge_plateau_smooth,-8.955454152506944,-0.7630184190332032,-11.216623639971926,3509.8977595159413,1.3105843516426101
56,hinge_plateau_smooth,-9.002949745252598,-0.7668411241581425,-11.218469505911354,3430.9469593524673,1.3040510850247176
57,hinge_plateau_smooth,-9.023890442090877,-0.7686936128874948,-11.22091625744628,3126.801567049927,1.3009084285787593
58,hinge_plateau_smooth,-8.971972629535653,-0.7643115185211304,-11.215247359931196,3437.041095231977,1.3083670411443022
59,hinge_plateau_smooth,-9.005397727551014,-0.767261285757561,-11.218469505911354,3372.682215965787,1.303336970811244
60,hinge_plateau_smooth,-8.965895883641243,-0.7638805803091469,-11.21818199607075,3305.9308646317922,1.3091051478168148
61,hinge_plateau_smooth,-8.993811921648684,-0.7661975911510732,-11.217105047467417,3495.5759892468895,1.305146363743693
62,hinge_plateau_smooth,-8.987895362147823,-0.765733309151484,-11.219485387405381,3611.1200695487287,1.3059377044837048
63,hinge_plateau_smooth,-9.255943787997447,-0.7872624392162663,-11.268766392739117,3052.17965547304,1.2702244514491479
64,hinge_plateau_smooth,-8.914762802247354,-0.7594554441476338,-11.215730283916107,3460.7964622061936,1.3167329403008476
65,hinge_plateau_smooth,-8.972002572848961,-0.7643967372794414,-11.219158249776957,3186.8650674396063,1.3082211778651651
66,hinge_plateau_smooth,-8.91755752636844,-0.759999333568235,-11.21495103685475,3168.9495877277823,1.3157906274798292
67,hinge_plateau_smooth,-8.989894426165295,-0.7658880603303434,-11.2167096374694,3318.078218085567,1.305673833808924
68,hinge_plateau_smooth,-8.986768944060035,-0.7657824206969779,-11.215730283916107,3278.2617374796414,1.3058539514263707
69,hinge_plateau_smooth,-9.001029514538335,-0.7666270555894577,-11.220569474525771,3411.270511564214,1.3044152208156838
70,hinge_plateau_smooth,-8.951577463857802,-0.7626116109850395,-11.218469505911354,3174.172405670378,1.3112834706362968
71,hinge_plateau_smooth,-8.945407663602213,-0.7621874397514292,-11.214899384979676,3705.0628051467434,1.3120132238417996
72,hinge_plateau_smooth,-8.988788663088563,-0.7658249509641989,-11.215730283916107,3620.5210761124763,1.3057814305226894
73,hinge_plateau_smooth,-9.021194533155015,-0.7683895754160188,-11.22091625744628,3220.5370719699695,1.3014231738614928
74,hinge_plateau_smooth,-8.915552220860155,-0.7598028121728657,-11.213210211812413,3545.7766704100995,1.3161309539513604
75,hinge_plateau_smooth,-8.961226123754113,-0.763340854705119,-11.217452501471998,3485.0944439472473,1.3100307599627996
76,hinge_plateau_smooth,-9.002377803929647,-0.7668952954371542,-11.215730283916107,3424.721323471723,1.3039589706049362
77,hinge_plateau_smooth,-8.945819375505684,-0.7620482254899549,-11.21446811286984,3421.682365911943,1.3122529080847283
78,hinge_plateau_smooth,-9.003517908161056,-0.766884105712892,-11.21737324175413,3270.2936709989644,1.3039779968713845
79,hinge_plateau_smooth,-9.023393198326902,-0.7688023474337784,-11.220359403069986,3388.0385914680814,1.3007244363105122
80,hinge_plateau_smooth,-9.251030725901195,-0.7867285046333938,-11.26742596627774,3540.471913477615,1.2710865236362423
81,hinge_plateau_smooth,-8.943943696808551,-0.7620122449437715,-11.216600654678508,3432.6804729541955,1.3123148697876759
82,hinge_plateau_smooth,-8.914083665261193,-0.7595458369049493,-11.211274680353775,3611.9241827721735,1.3165762372878906
83,hinge_plateau_smooth,-8.939607335829935,-0.7619816876060738,-11.213210211812413,3366.3079765740504,1.312367496838029
