rep,model,intercept,slope,xstar,sse,tau
103,hinge_plateau_smooth,-5.1411648852511345,-0.504437554741592,-9.874434834296023,84.91981977038387,1.9824059303282238
104,hinge_plateau_smooth,-4.9443925644469715,-0.4866064233311518,-9.818890000290455,70.11281772150093,2.05504891027603
105,hinge_plateau_smooth,-4.954470107273798,-0.4874267859236591,-9.81847738167911,96.37649532195792,2.051590164674742
106,hinge_plateau_smooth,-5.093704459307569,-0.4995103877545271,-9.863184226654553,83.82845559337429,2.0019603686228584
107,hinge_plateau_smooth,-5.036954115240308,-0.4953894650096488,-9.816774728053955,85.60515790564918,2.018613778919426
108,hinge_plateau_smooth,-4.920057345732931,-0.4838710413896026,-9.818509898606822,56.25694299303627,2.0666663521093454
109,hinge_plateau_smooth,-5.067835913685523,-0.4971659256096216,-9.864905444224775,73.10398009323444,2.011400919670443
110,hinge_plateau_smooth,-5.076334871855723,-0.49883146320489163,-9.83020475370813,76.05400760357988,2.0046850965959555
111,hinge_plateau_smooth,-5.0807718062401905,-0.49797433805480523,-9.871692820743526,72.72467854235987,2.008135607762872
112,hinge_plateau_smooth,-5.0080639122017105,-0.4912823982191063,-9.866183178815342,94.29893977393839,2.0354891679917495
113,hinge_plateau_smooth,-5.348444380993921,-0.5242196596725943,-9.874703550996315,94.64756856854584,1.907597285886909
114,hinge_plateau_smooth,-5.058398369389166,-0.49627725719225574,-9.863055624117223,71.41117725122339,2.0150026734201205
115,hinge_plateau_smooth,-5.030813275251619,-0.4943000336641818,-9.82620918695553,76.445500980269,2.023062779476526
116,hinge_plateau_smooth,-5.044646941896182,-0.49623157609224294,-9.825016340268174,83.23481311880893,2.015188166530767
117,hinge_plateau_smooth,-5.271547191529351,-0.516951690275897,-9.871465396558236,90.44192402658126,1.9344167333436904
118,hinge_plateau_smooth,-5.158300817990778,-0.5061277073247226,-9.864422357604958,66.80356192977678,1.9757859242399027
119,hinge_plateau_smooth,-4.918867740442914,-0.48395187226412234,-9.822970779850154,57.54734679642697,2.0663211722306105
120,hinge_plateau_smooth,-5.0979343503606716,-0.5013491599916766,-9.820754880036379,82.10945270539074,1.9946178827079355
121,hinge_plateau_smooth,-4.835684434595947,-0.47626868190397836,-9.809826866813967,71.20857403936088,2.099655169435668
122,hinge_plateau_smooth,-5.119400472641743,-0.5021874889976379,-9.869159281789136,79.68595385181379,1.9912881581259458
123,hinge_plateau_smooth,-5.202396543025853,-0.5103522143133623,-9.872700672832865,91.72256743480622,1.9594310986686307
124,hinge_plateau_smooth,-5.015374781879213,-0.49310410643300767,-9.828794410820423,65.7900375215556,2.0279693211921335
125,hinge_plateau_smooth,-5.022234361084562,-0.4932108006284508,-9.830184710391162,76.28961400552004,2.027530619211495
126,hinge_plateau_smooth,-5.121588042174495,-0.502653687224301,-9.864890859989696,97.13456564087629,1.9894412901297713
127,hinge_plateau_smooth,-5.152014679907785,-0.5053574270900629,-9.871872946499337,75.66569381192221,1.9787974736181797
128,hinge_plateau_smooth,-5.051901636370662,-0.496585004602386,-9.827542034653078,77.98312684894707,2.0137539207425257
129,hinge_plateau_smooth,-5.016949195939338,-0.4930133851091201,-9.82670113289243,64.6756865218814,2.0283424957694955
130,hinge_plateau_smooth,-4.949588563485582,-0.4864787880419517,-9.831728781124975,74.83151507752243,2.055588084374533
131,hinge_plateau_smooth,-5.166037877035156,-0.5066499856915699,-9.872134907869723,103.26416768004671,1.9737491922259
132,hinge_plateau_smooth,-4.961843824865429,-0.48818677547612616,-9.822078271561818,115.37525819230964,2.048396331557128
133,hinge_plateau_smooth,-5.02480039233894,-0.49384955016972887,-9.826555800936807,80.83757866201343,2.0249081924977244
134,hinge_plateau_smooth,-5.145281606499752,-0.5047748580144358,-9.86756671718512,85.76726792638841,1.9810812367588275
135,hinge_plateau_smooth,-5.155865693643193,-0.5054825934781034,-9.871660338929049,65.94768324987038,1.9783074885313894
136,hinge_plateau_smooth,-5.007092773090416,-0.49202787738508313,-9.827181006784784,73.50852086691391,2.03240516637913
137,hinge_plateau_smooth,-5.1418751982487665,-0.503849030446497,-9.874094392078224,85.3301363915709,1.984721493090555
138,hinge_plateau_smooth,-5.104455432590623,-0.5016102777064049,-9.827838003817819,97.81273295496304,1.9935795665361251
139,hinge_plateau_smooth,-5.02192592394268,-0.4933483725229931,-9.828488573583295,87.76644641263991,2.026965235308228
140,hinge_plateau_smooth,-5.17395918743518,-0.5068784655668638,-9.877061560274322,99.43297006377603,1.9728595076171906
141,hinge_plateau_smooth,-5.102449055056894,-0.5006248226779524,-9.86446368809917,97.64093018830388,1.9975038286171665
142,hinge_plateau_smooth,-5.185685617352871,-0.5084507327842709,-9.87054688695018,96.73962878859729,1.9667588923001653
143,hinge_plateau_smooth,-4.87057900509544,-0.4789303535208373,-9.814191488141962,76.28469749739972,2.0879862649100023
144,hinge_plateau_smooth,-5.061299688105462,-0.4973241375610791,-9.830268589894123,80.73138985449242,2.0107610398805233
145,hinge_plateau_smooth,-5.1224462093214855,-0.5022764795587691,-9.867370120013495,57.059329928821725,1.9909353527333435
146,hinge_plateau_smooth,-5.0816825116103175,-0.4980221891780916,-9.87430325744566,93.53551924781453,2.0079426614511795
147,hinge_plateau_smooth,-5.053683373949279,-0.4957853094310383,-9.865844943770163,73.21235591287318,2.017002079282254
148,hinge_plateau_smooth,-4.976190679408568,-0.4888451000194624,-9.826135740448375,86.48769756993394,2.045637769428776
149,hinge_plateau_smooth,-5.169058808842418,-0.5068779952677824,-9.873535301417629,70.31954863942417,1.9728613381050453
150,hinge_plateau_smooth,-5.151573190962376,-0.5054295187343509,-9.86857741937769,83.69378728424186,1.9785152289959358
151,hinge_plateau_smooth,-4.956546174588637,-0.4873072269609155,-9.824992710727544,86.98499972508591,2.0520935144682455
152,hinge_plateau_smooth,-5.117469419583067,-0.5025900199794678,-9.833474455016471,71.92925619886299,1.9896933091525628
153,hinge_plateau_smooth,-4.942349136276812,-0.4859432081494583,-9.823388902500211,68.35385979134831,2.0578536405687076
154,hinge_plateau_smooth,-5.031976582916632,-0.49418851430829946,-9.83321458314855,93.66669557105158,2.023519306999009
155,hinge_plateau_smooth,-5.120072132862575,-0.5021152776757465,-9.86569829425742,83.51925291387275,1.9915745336985644
156,hinge_plateau_smooth,-5.047227325519139,-0.495113507710797,-9.864798591973194,88.74130944090595,2.019738876896315
157,hinge_plateau_smooth,-5.24931507646918,-0.5150466599559047,-9.868843867102207,64.68418768894219,1.9415716628190816
158,hinge_plateau_smooth,-5.165356468989234,-0.507112619062306,-9.86734649913285,86.57274018531733,1.9719485621341555
159,hinge_plateau_smooth,-5.030468808880584,-0.49445362418586053,-9.830764150871882,83.85235761827583,2.02243436206286
