dt,x_id,x_center,x_lo,x_hi,n,msd,msd_lo,msd_hi
3,1,-11.2845,-11.825999999999999,-10.743,1041,0.4569542372568386,0.351882892650952,0.5854294325193341
3,2,-10.6405,-10.743,-10.538,1117,0.3218310030121916,0.289437108351813,0.3593640501292375
3,3,-10.4515,-10.538,-10.365,1046,0.27047054874100046,0.24506059302782188,0.2980448262960234
3,4,-10.293,-10.365,-10.221,1128,0.22189435662506488,0.2016361622655557,0.24450327874089983
3,5,-10.161000000000001,-10.221,-10.101,1141,0.21014670532366833,0.1931181257044547,0.22927708866056376
3,6,-10.0475,-10.101,-9.994,1140,0.25130393340567153,0.20109650216400116,0.33080872899866004
3,7,-9.9415,-9.994,-9.889,1156,0.22236067832210824,0.20316594514427314,0.24020351799225664
3,8,-9.834,-9.889,-9.779,1201,0.22651396458007944,0.20643369068038325,0.24820676346128945
3,9,-9.7265,-9.779,-9.674,1182,0.22352852373396329,0.20606485927024146,0.24205068055463608
3,10,-9.621500000000001,-9.674,-9.569,1242,0.2782723414433679,0.2558538658562036,0.3065349148185328
3,11,-9.5135,-9.569,-9.458,1244,0.29113403559468926,0.26488830258901214,0.3215686464694211
3,12,-9.3975,-9.458,-9.337,1232,0.3103797417015179,0.2840703137350713,0.34046814358598265
3,13,-9.272,-9.337,-9.207,1220,0.3556815009083343,0.3179253635656783,0.39100809636837175
3,14,-9.136,-9.207,-9.065,1147,0.39640055872247637,0.35449752769312237,0.43726492742353307
3,15,-8.9845,-9.065,-8.904,1190,0.35284077790497137,0.31798473172810987,0.39291681332227396
3,16,-8.812000000000001,-8.904,-8.72,1198,0.33065613661310406,0.29955927576033337,0.36491620245794465
3,17,-8.599,-8.72,-8.478,1202,0.38898166998715256,0.3370956933811556,0.46739685011964155
3,18,-8.301,-8.478,-8.124,1189,0.4166131334230874,0.3574721988792823,0.49710464228030354
3,19,-7.8125,-8.124,-7.501,1180,0.38772955277644444,0.3250021296869588,0.45672444565938697
3,20,-5.2645,-7.501,-3.028,1146,0.7255108202496302,0.4907878628974317,1.0366198470572152
4,1,-11.2845,-11.825999999999999,-10.743,1113,0.4231353382764913,0.3771120762616504,0.4697802172746698
4,2,-10.6405,-10.743,-10.538,847,0.38645739434354914,0.3556765669823095,0.41715808975860086
4,3,-10.4515,-10.538,-10.365,928,0.29618861587371126,0.2595871422707241,0.33533195120100473
