subject,time,pair_id,file_rep1,file_rep2,fit_success_rep1,fit_success_rep2,depth_rep1,depth_rep2,depth_ratio,gamma_rep1,gamma_rep2,delta_gamma,gamma_mean,xmin_rep1,xmin_rep2,delta_xmin,ks_rep1,ks_rep2,n_tail_rep1,n_tail_rep2,tail_fraction_rep1,tail_fraction_rep2,QC_traffic,QC_reason,z_delta_gamma,gamma_outlier,QC_pass_main,QC_pass
6,4,6_4,6_4-1,6_4-2,True,True,207814,190324,1.0918959248439504,2.2648754243412044,2.303426124224944,0.038550699883739714,2.2841507742830744,0.0003079677018872646,0.0002837266976314075,2.42410042558571e-05,0.04420428729770909,0.03680902734953628,224,262,0.010662604722010662,0.012809230468368045,PASS,pass,-0.22444565847818776,False,True,True
6,5,6_5,6_5-1,6_5-2,True,True,363634,324054,1.1221401371376376,2.080270401204011,2.1419600193794834,0.06168961817547247,2.1111152102917474,0.0003740024310158016,0.0004690576261981028,9.505519518230118e-05,0.028426807803886844,0.03309140625397322,137,114,0.0036936183979941225,0.003344972271940377,PASS,pass,0.4075770937165528,False,True,True
6,6,6_6,6_6-1,6_6-2,True,True,1046858,1221470,1.166796260810922,2.008971536447408,2.043908970850988,0.03493743440357999,2.026440253649198,0.0001604802179474198,0.00024396833323782,8.348811529040019e-05,0.02781974104608559,0.024683520158369818,314,203,0.003359690138132483,0.001846293769895407,PASS,pass,-0.32313938151176286,False,True,True
7,1,7_1,7_1-1,7_1-2,True,True,810900,993552,1.2252460229374769,2.59121124405892,2.4375902019737907,0.1536210420851294,2.5144007230163554,6.659267480577136e-05,8.655812680161682e-05,1.996545199584546e-05,0.05317769130998703,0.04966445914641804,771,439,0.010149678132775166,0.00506285318879022,PASS,pass,2.918617187294398,False,True,True
7,2,7_2,7_2-1,7_2-2,True,True,1928464,2209326,1.145640260850086,2.781162431173151,2.7288059089525687,0.0523565222205824,2.75498417006286,3.6298318247060876e-05,3.9831152125127754e-05,3.5328338780668772e-06,0.044150398917287226,0.04245577955267499,1437,1171,0.011006349522445447,0.008430829043522084,PASS,pass,0.152650354379098,False,True,True
7,4,7_4,7_4-1,7_4-2,True,True,1024914,1304492,1.272781911457937,2.4938647516407437,2.665793210043711,0.17192845840296744,2.5798289808422274,6.829841333028917e-05,4.292858829337397e-05,2.5369825036915204e-05,0.05590766577004891,0.054288049454616405,520,1113,0.004750420229481839,0.008454748484526216,PASS,pass,3.418670971178884,False,True,True
7,5,7_5,7_5-1,7_5-2,True,True,847344,1127776,1.330954134330331,2.3414674500630417,2.6986587348371085,0.3571912847740668,2.520063092450075,0.00010621424120546083,5.4975456118945607e-05,5.123878508651523e-05,0.06370988385465826,0.058465977989437756,243,775,0.003088145587637251,0.008231370549749342,FAIL,fail:delta_gamma,8.478990555965762,True,False,False
7,6,7_6,7_6-1,7_6-2,True,True,510398,627732,1.2298872644485284,2.238526792175884,2.571936809729142,0.33341001755325816,2.405231800952513,0.00021551808588591648,9.239611808861106e-05,0.00012312196779730542,0.057470139617573746,0.05199447571737881,155,602,0.002756094525151585,0.008771035186129525,FAIL,fail:delta_gamma,7.829422509176634,True,False,False
8,1,8_1,8_1-1,8_1-2,True,True,890416,667162,1.3346323681504642,2.202305823789959,2.1685275842560046,0.03377823953395431,2.1854167040229817,0.0002672907944151947,0.0001768685866401264,9.04222077750683e-05,0.034867989271469724,0.035625695766041465,119,201,0.0013138863433107728,0.0027603444250655753,PASS,pass,-0.35480194769544693,False,True,True
8,2,8_2,8_2-1,8_2-2,True,True,2363346,1933962,1.222022976666553,2.321510353227601,2.275274051765927,0.04623630146167379,2.298392202496764,9.054958520673655e-05,9.410732992685482e-05,3.5577447201182757e-06,0.03793115058739582,0.03601750963650474,318,296,0.002679158171432423,0.0026478218087485463,PASS,pass,-0.014519031817612618,False,True,True
