subject,time,replica,pair_id,threshold_quantile,xmin_threshold,n_total,n_tail,tail_fraction,pl_alpha_hat,pl_gamma_hat,pl_loglik,pl_mean_loglik_per_clonotype,pl_ks,tln_loglik,tln_mean_loglik_per_clonotype,tln_mu,tln_sigma,delta_loglik_pl_minus_tln,mean_delta_loglik_pl_minus_tln,pl_better
1,5,2,1_5,0.7,1.373095902166917e-05,66213,19963,0.30149668494102366,3.1106146745478402,3.1106146745478402,208993.4672092289,10.469041086471417,0.18444121625006263,202357.2797063491,10.136616726261037,-10.72206186645582,0.5351307963100701,6636.187502879795,0.33242436021037897,True
1,5,2,1_5,0.75,1.373095902166917e-05,66213,19963,0.30149668494102366,3.1106146745478402,3.1106146745478402,208993.4672092289,10.469041086471417,0.18444121625006263,202357.2797063491,10.136616726261037,-10.72206186645582,0.5351307963100701,6636.187502879795,0.33242436021037897,True
1,5,2,1_5,0.8,1.716369877708646e-05,66213,13377,0.20202981287662544,3.181738525195017,3.181738525195017,137709.3381640347,10.294485920911617,0.1684981684981685,132810.97946814928,9.928308250590511,-10.51436387331414,0.5430580276658612,4898.3586958854285,0.36617767032110554,True
1,5,2,1_5,0.85,1.8880068654795108e-05,66213,11123,0.16798815942488635,3.193360526986736,3.193360526986736,113531.54020224206,10.20691721677983,0.1569720399172885,109304.63361933384,9.826902240342879,-10.421482361865351,0.5508860830730614,4226.906582908225,0.3800149764369527,True
1,5,2,1_5,0.9,2.4029178287921047e-05,66213,6732,0.10167187712382765,3.1539942976035036,3.1539942976035036,66911.44739443678,9.939311853006057,0.14215686274509803,64163.848027233325,9.531171721217072,-10.1719879216275,0.5837847546246282,2747.599367203453,0.4081401317889859,True
1,5,2,1_5,0.95,3.261102767646428e-05,66213,3416,0.0515910772808965,2.965023749741496,2.965023749741496,32443.339362178027,9.497464684478345,0.1132903981264637,31031.650966355046,9.08420695736389,-9.821960352847718,0.6446458908412854,1411.688395822981,0.4132577271144558,True
1,6,1,1_6,0.7,1.8838156686368238e-05,39669,12983,0.3272832690514003,3.2758067914708655,3.2758067914708655,133238.7664339469,10.262556145262797,0.38057459755064316,126901.65722217745,9.774447910512013,-10.440221522113958,0.6185710977251636,6337.10921176945,0.48810823475078563,True
1,6,1,1_6,0.75,1.8838156686368238e-05,39669,12983,0.3272832690514003,3.2758067914708655,3.2758067914708655,133238.7664339469,10.262556145262797,0.38057459755064316,126901.65722217745,9.774447910512013,-10.440221522113958,0.6185710977251636,6337.10921176945,0.48810823475078563,True
1,6,1,1_6,0.8,2.3547695857960297e-05,39669,8042,0.20272757064710478,3.056635666314342,3.056635666314342,79546.02010360706,9.891323066849921,0.32031832877393684,75890.864586947,9.436814795690998,-10.170251590819195,0.6528503611301124,3655.155516660059,0.45450827115892306,True
1,6,1,1_6,0.85,2.3547695857960297e-05,39669,8042,0.20272757064710478,3.056635666314342,3.056635666314342,79546.02010360706,9.891323066849921,0.32031832877393684,75890.864586947,9.436814795690998,-10.170251590819195,0.6528503611301124,3655.155516660059,0.45450827115892306,True
1,6,1,1_6,0.9,3.296677420114442e-05,39669,4041,0.10186795734704682,2.764030198308821,2.764030198308821,37665.06064914334,9.320727703326737,0.21950012373174957,36065.044991417446,8.924782229996893,-9.753126626665985,0.7006791419378808,1600.0156577258967,0.3959454733298433,True
1,6,1,1_6,0.95,4.7095391715920594e-05,39669,2170,0.054702664549144166,2.6241949667816,2.6241949667816,19166.867987994803,8.83265805898378,0.14055299539170507,18346.866319605997,8.454777105809216,-9.347645771013184,0.7418808768023403,820.0016683888061,0.37788095317456505,True
1,6,2,1_6,0.7,1.8950161076369148e-05,41514,12825,0.3089319265789854,3.314121004162672,3.314121004162672,131848.67608914367,10.280598525469292,0.38580896686159843,125573.2195112604,9.791284172417965,-10.44156860585987,0.6093631304441741,6275.456577883277,0.4893143530513276,True
1,6,2,1_6,0.75,1.8950161076369148e-05,41514,12825,0.3089319265789854,3.314121004162672,3.314121004162672,131848.67608914367,10.280598525469292,0.38580896686159843,125573.2195112604,9.791284172417965,-10.44156860585987,0.6093631304441741,6275.456577883277,0.4893143530513276,True
1,6,2,1_6,0.8,1.8950161076369148e-05,41514,12825,0.3089319265789854,3.314121004162672,3.314121004162672,131848.67608914367,10.280598525469292,0.38580896686159843,125573.2195112604,9.791284172417965,-10.44156860585987,0.6093631304441741,6275.456577883277,0.4893143530513276,True
1,6,2,1_6,0.85,2.3687701345461435e-05,41514,7877,0.18974321915498385,3.0814619536021017,3.0814619536021017,78007.45544114325,9.903193530677067,0.3220769328424527,74444.18581076738,9.45082973349846,-10.170123021547168,0.643114444766028,3563.269630375871,0.452363797178605,True
1,6,2,1_6,0.9,2.8425241614553722e-05,41514,5340,0.12863130510189333,2.8998405256467663,2.8998405256467663,51176.6536102183,9.583642998168221,0.25767790262172285,48953.65400493344,9.167350937253454,-9.941873049388597,0.6695842542249069,2222.9996052848583,0.41629206091476745,True
1,6,2,1_6,0.95,4.737540269092287e-05,41514,2128,0.05125981596569832,2.6832995643829545,2.6832995643829545,18905.34770091674,8.884091964716513,0.15037593984962405,18066.248004076435,8.48977819740434,-9.363336071061177,0.7327032761483071,839.0996968403051,0.39431376731217344,True
2,1,1,2_1,0.7,2.42909079131681e-05,29667,14819,0.4995112414467253,3.4486823670484994,3.4486823670484994,149858.2579741967,10.11257561064827,0.46932991429921045,142169.2736358075,9.593715745718841,-10.217025540130916,0.600266089755404,7688.984338389186,0.5188598649294275,True
2,1,1,2_1,0.75,3.238787721755747e-05,29667,7864,0.2650756733070415,3.075210910806266,3.075210910806266,75383.59959428106,9.585910426536248,0.37627161749745675,71928.70133101584,9.146579518186144,-9.855847634256907,0.6332821239962996,3454.8982632652187,0.43933090835010413,True
2,1,1,2_1,0.8,3.238787721755747e-05,29667,7864,0.2650756733070415,3.075210910806266,3.075210910806266,75383.59959428106,9.585910426536248,0.37627161749745675,71928.70133101584,9.146579518186144,-9.855847634256907,0.6332821239962996,3454.8982632652187,0.43933090835010413,True
2,1,1,2_1,0.85,4.048484652194683e-05,29667,4905,0.16533522095257355,2.8200538405115485,2.8200538405115485,44949.49162019788,9.164014601467457,0.2701325178389399,43175.77690933694,8.802401000884188,-9.565148518117661,0.6468369515438355,1773.7147108609352,0.36161360058326913,True
2,1,1,2_1,0.9,4.85818158263362e-05,29667,3580,0.12067280142919742,2.75295648233942,2.75295648233942,31944.698788868438,8.923100220354312,0.22206703910614525,30739.807037420687,8.586538278609131,-9.361796439401378,0.6482066701168839,1204.8917514477507,0.3365619417451818,True
2,1,1,2_1,0.95,8.096969304389367e-05,29667,1565,0.052752216267232956,2.680121688789434,2.680121688789434,13060.092259144087,8.345106874852451,0.14313099041533547,12575.911925162756,8.03572646975256,-8.826240650257255,0.6509445838449465,484.1803339813305,0.3093804050998917,True
2,1,2,2_1,0.7,3.8981288981288983e-05,19251,9033,0.4692223780582827,3.5001307165221585,3.5001307165221585,87338.20470604091,9.66879272733764,0.48522085685818667,82530.39836952154,9.136543603401034,-9.752449710221523,0.5990562707369247,4807.806336519367,0.5322491239366065,True
2,1,2,2_1,0.75,3.8981288981288983e-05,19251,9033,0.4692223780582827,3.5001307165221585,3.5001307165221585,87338.20470604091,9.66879272733764,0.48522085685818667,82530.39836952154,9.136543603401034,-9.752449710221523,0.5990562707369247,4807.806336519367,0.5322491239366065,True
