subject,time,replica,pair_id,file,depth,fit_success,fit_message,n_total,n_tail,tail_fraction,gamma_hat,xmin_hat,ks_distance
2,3,1,2_3,2_3-1,343774,True,ok,34719,212,0.00610616665226533,2.6562243653300124,0.00030252433284657943,0.03377425466800982
2,3,2,2_3,2_3-2,703646,True,ok,62707,619,0.009871306233753808,2.3863933594240385,0.00010232418005644884,0.03675465289159452
2,4,1,2_4,2_4-1,395454,True,ok,40570,440,0.010845452304658615,2.395718633693173,0.00017195426016679562,0.029545454545454545
2,4,2,2_4,2_4-2,604832,True,ok,56538,361,0.006385086136757579,2.420186333458108,0.00018186868419660336,0.022851496598553456
2,5,1,2_5,2_5-1,174730,True,ok,18978,210,0.011065444198545684,2.2826054401819453,0.0003662794025067247,0.039738431357418835
2,5,2,2_5,2_5-2,210734,True,ok,22747,191,0.008396711654284081,2.2822978436392587,0.00037013486195867776,0.03611168968476974
2,6,1,2_6,2_6-1,205914,True,ok,24757,227,0.009169123884153977,2.6974250697053477,0.0003010965742980079,0.030438220589467716
2,6,2,2_6,2_6-2,186502,True,ok,22656,290,0.012800141242937853,2.6290823116888795,0.00025736989415663103,0.04827586206896552
3,1,1,3_1,3_1-1,3730574,True,ok,184403,1519,0.00823739310097992,2.33132613236267,4.1816621249169696e-05,0.01817999666615977
3,1,2,3_1,3_1-2,2539492,True,ok,157388,808,0.005133809439093196,2.3128745440351954,6.851764053598121e-05,0.017589418809069196
3,2,1,3_2,3_2-1,1611790,True,ok,117508,720,0.0061272424005174115,2.357997617749175,8.065566854242798e-05,0.021495967069985245
3,2,2,3_2,3_2-2,1104340,True,ok,93275,538,0.005767890645939426,2.359381937549956,0.00010504011445750403,0.022990465790738823
3,3,1,3_3,3_3-1,884588,True,ok,90758,710,0.007823001829039864,2.357404071039255,7.008912623729918e-05,0.03009510057537418
3,3,2,3_3,3_3-2,954024,True,ok,96307,373,0.0038730310361655956,2.363537569897119,0.00011110831593335178,0.02381319927899339
